"party","V"
"straffrihet","1.0"
"hunnit","1.0"
"välorganiserat","1.0"
"faktiskt","48.0"
"fyller","1.0"
"utgår","5.0"
"överskuldsatta","1.0"
"invandringen","2.0"
"anställa","4.0"
"anställd","1.0"
"djur","20.0"
"självmord","2.0"
"skuldsättning","2.0"
"tillståndsprövningen","1.0"
"presstöd","2.0"
"förtryck","1.0"
"anställs","1.0"
"provanställningar","2.0"
"trovärdighet","1.0"
"typfall","1.0"
"skärgården","10.0"
"slutänden","2.0"
"mellanösternengagemang","1.0"
"koldioxidskatten","2.0"
"tid?","1.0"
"godkända","1.0"
"förankra","1.0"
"urholkning","1.0"
"socialdemokrater","4.0"
"järnvägssektorn","1.0"
"infrastrukturinvestering","1.0"
"1 800","1.0"
"höra:","1.0"
"statsministern","4.0"
"klimatförändringarna","2.0"
"kyckling","2.0"
"värderingar","7.0"
"darvishpour","1.0"
"skalan","1.0"
"ogenomtänkt","1.0"
"massa","3.0"
"oklara","1.0"
"iväg","1.0"
"förhålla","3.0"
"kommunens","1.0"
"utfasningsplan","2.0"
"mediesverige","1.0"
"mehmet","3.0"
"lundgren","1.0"
"tjeckiska","2.0"
"energimarknaden","1.0"
"koll","4.0"
"extra","12.0"
"arbetsmöjligheter","1.0"
"hyresnämnden","1.0"
"saknade","1.0"
"land","36.0"
"leder","8.0"
"buss","2.0"
"öppenhet","5.0"
"lavalavtalet","2.0"
"barndomen","1.0"
"ledda","1.0"
"övervakningslagar?","1.0"
"ledde","4.0"
"kolgruvorna","1.0"
"extremismen","1.0"
"90-talet","1.0"
"automatik","1.0"
"tids","1.0"
"året","10.0"
"s. 81","1.0"
"ställningstaganden","1.0"
"synliga","1.0"
"biståndskontoren","1.0"
"socialdemokrati","5.0"
"höras","1.0"
"aron","3.0"
"årsredovisning","1.0"
"åren","23.0"
"markant","5.0"
"pratade","6.0"
"infrastrukturplan","1.0"
"hbtq-organisationer","1.0"
"tågsystemet","1.0"
"verksamheten","20.0"
"allvarlig","1.0"
"lo-förbund","1.0"
"slående","1.0"
"verksamheter","1.0"
"delfrågan","1.0"
"bästa?","1.0"
"förutsättningen","2.0"
"drift","1.0"
"armé","1.0"
"kommuner","14.0"
"våldsbrott","1.0"
"projektet","2.0"
"kommunen","5.0"
"rådet","1.0"
"vuxit","2.0"
"uppvaktats","1.0"
"felorganiserat","1.0"
"svenskar","2.0"
"skärpningar","2.0"
"helhetsbilden","1.0"
"ibland","15.0"
"kommissionären","2.0"
"permanenta","1.0"
"larm","1.0"
"lars","1.0"
"platsproblem","1.0"
"arbetsmarknadsregioner","1.0"
"konsekvensen","6.0"
"fjärran","1.0"
"bekymra","1.0"
"missgynnar","1.0"
"konsekvenser","12.0"
"ha:","1.0"
"europas","2.0"
"färdigt","2.0"
"ha?","1.0"
"29-åriga","1.0"
"miljarder","21.0"
"diagram","4.0"
"tv4:s","1.0"
"ägardirektiv","6.0"
"spekulativt","1.0"
"anställningar","9.0"
"nederländskt","1.0"
"framtagna","1.0"
"till","780.0"
"knappt","2.0"
"förutsättningar","13.0"
"nystart","2.0"
"presstödssystem","1.0"
"rekvirera","1.0"
"torde","1.0"
"industrin","6.0"
"kort","6.0"
"han","42.0"
"industris","2.0"
"pensioner","1.0"
"har","1027.0"
"recension","1.0"
"pensionen","1.0"
"vore","34.0"
"bidrog","1.0"
"hälsa","20.0"
"prövas","1.0"
"bostadsrätt","3.0"
"prövat","1.0"
"hela?","1.0"
"intressanta","3.0"
"garanti","1.0"
"15,9","1.0"
"menar","54.0"
"plågas","1.0"
"parlament","2.0"
"tillbringar","1.0"
"järnvägssystemet","1.0"
"europa;","1.0"
"mötas","1.0"
"strök","1.0"
"generalstrejk","1.0"
"prövad","1.0"
"enat","1.0"
"marknadsstyrda","1.0"
"maskinförare","1.0"
"socialdemokraternas","1.0"
"krävts","1.0"
"chans","2.0"
"omsätta","1.0"
"medvetna","1.0"
"samarbetsregeringens","1.0"
"enda","20.0"
"kommit","19.0"
"klartecken","1.0"
"råder","11.0"
"bilvägar","2.0"
"flickor","5.0"
"valdebatterna","1.0"
"fackföreningar","2.0"
"utrustningen","1.0"
"ting","2.0"
"förutom","4.0"
"socialdemokraterna?","1.0"
"rådde","1.0"
"gruvnäringen","1.0"
"nyare","1.0"
"rättigheterna","5.0"
"falck","1.0"
"vinsten","2.0"
"1 745","1.0"
"sjukare","1.0"
"vinster","5.0"
"hiv/aids","1.0"
"pajala","2.0"
"trampa","1.0"
"granskning","7.0"
"hotade","1.0"
"besöksutbyten","1.0"
"förhandlingar","3.0"
"lurats","1.0"
"stängda","1.0"
"lärosätenas","1.0"
"alice","2.0"
"ministrarna","2.0"
"bilområdet","1.0"
"trivsam","1.0"
"hel","9.0"
"hen","1.0"
"hem","15.0"
"prata","6.0"
"maiorum","2.0"
"svårare","15.0"
"slopa","1.0"
"marknadsstyrning","1.0"
"möten","1.0"
"frågorna","17.0"
"tullar","1.0"
"möter","6.0"
"vetenskapsrådet","1.0"
"tillbringa","2.0"
"bortglömd","1.0"
"självbilden","1.0"
"elnät","2.0"
"bidrar","10.0"
"regeringen?","1.0"
"ministerrådsmöten","1.0"
"angrip","1.0"
"sprider","3.0"
"fabriksliknande","2.0"
"handelsrestriktioner","1.0"
"parterna","6.0"
"uttalande","3.0"
"århundraden","1.0"
"detaljplaneringen","1.0"
"hamstrar","1.0"
"samarbeta","1.0"
"förutse","1.0"
"framkommer","4.0"
"ogillar","1.0"
"utveckling","12.0"
"samarbete","4.0"
"stänger","2.0"
"då:","1.0"
"då?","1.0"
"kräver","18.0"
"ytläge","1.0"
"hamburg","2.0"
"framkomligheten","1.0"
"polisen","8.0"
"djurskyddsorganisationer","1.0"
"något?","1.0"
"regeringens","34.0"
"kapital","3.0"
"bredare","6.0"
"upprörda","2.0"
"där","219.0"
"kommun","14.0"
"resurs-","1.0"
"ministerns","6.0"
"socialkontoren","1.0"
"titt","1.0"
"krigshandlingar","1.0"
"östra","16.0"
"kurdiska","5.0"
"kvadratmeter","2.0"
"skjuter","2.0"
"fruktsallad","1.0"
"hit","3.0"
"kostade","1.0"
"tillstånd","9.0"
"hiv","2.0"
"rutinmässigt","1.0"
"överlämnade","1.0"
"feministisk","2.0"
"överordnas","1.0"
"isolera","1.0"
"gjordes","1.0"
"sällsynt","1.0"
"3r-centret","4.0"
"fjärde","1.0"
"sl-perrongen","2.0"
"medfinansiering","4.0"
"kronofogden","5.0"
"kommunal","7.0"
"punkterna","1.0"
"botkyrka","3.0"
"enig","2.0"
"strykas","1.0"
"undersöker","2.0"
"barnombudsmannens","1.0"
"okej","5.0"
"sjönöd","1.0"
"vuxna","4.0"
"flyktingkatastrofen","1.0"
"bolag","20.0"
"desto","4.0"
"flyktingkatastrofer","1.0"
"häktningstiden","3.0"
"medvetet","3.0"
"männen","2.0"
"kampen","1.0"
"jourerna?","1.0"
"häktningstider","4.0"
"gjorde:","1.0"
"busstrafiken","2.0"
"tunnlar","1.0"
"allmänheten","3.0"
"sändes","1.0"
"sänder","1.0"
"medveten","4.0"
"point","1.0"
"tidigt","8.0"
"länder","42.0"
"eventuellt","2.0"
"förvandlat","1.0"
"motverkar","1.0"
"återbetalningskrav","6.0"
"motverkas","1.0"
"sjunker","1.0"
"med;","2.0"
"synnerligen","3.0"
"biltrafik","1.0"
"neddragningar","1.0"
"känslig","1.0"
"någons","1.0"
"samhällsklasser","1.0"
"brandbekämpningen","2.0"
"överordnad","1.0"
"alternativa","1.0"
"känsligt","1.0"
"anställningen","1.0"
"lättillgänglig","1.0"
"mössan","1.0"
"obesvarad","1.0"
"oförminskad","1.0"
"administrera","1.0"
"resurser","26.0"
"meritering","1.0"
"småöarna","1.0"
"sundins","4.0"
"sjukskrivningarna?","1.0"
"bosättningarna","1.0"
"närmaste","6.0"
"orsakat","1.0"
"miljöarbete","1.0"
"skjutit","1.0"
"orsakar","1.0"
"lättare","10.0"
"noterar","6.0"
"helhetsgrepp","2.0"
"skicka","3.0"
"storbolag","2.0"
"slovakien","1.0"
"16 900","1.0"
"detaljer","3.0"
"glänt?","1.0"
"citat","1.0"
"världen.","1.0"
"gängse","1.0"
"allvarliga","3.0"
"inskjuta","1.0"
"förlängningen","1.0"
"olyckliga","1.0"
"brytpunkt","1.0"
"miljöbuse","1.0"
"idag.","1.0"
"avsedd","1.0"
"billigare","1.0"
"samhällsutveckling","1.0"
"organ","1.0"
"annan","36.0"
"hon","39.0"
"krångliga","1.0"
"avtalsrörelser","1.0"
"invånare","4.0"
"besöksutbyte","1.0"
"avtalsrörelsen","1.0"
"hot","2.0"
"hos","13.0"
"olyckligt","7.0"
"resultatet","5.0"
"missbruksvården","2.0"
"effektivitet","2.0"
"ombudsman","1.0"
"helhetstänkande","1.0"
"överklagansmöjligheter","1.0"
"fossilsubventionerna","1.0"
"indikerar","1.0"
"annat","76.0"
"ojämställt","1.0"
"uppmärksammade","2.0"
"också","258.0"
"sjyst","1.0"
"flyktinglägren","1.0"
"kallade","13.0"
"fredstid","1.0"
"erbjöd","1.0"
"världens","4.0"
"siffra","2.0"
"stereotyp","1.0"
"injektioner","1.0"
"rullades","1.0"
"uppsåtligen","1.0"
"årtal","1.0"
"återreglering","5.0"
"borgerliga","26.0"
"dubbla","2.0"
"pappa","1.0"
"barns","5.0"
"solidariteten","1.0"
"efterföljare","1.0"
"granskningen","3.0"
"trivsel","1.0"
"innebar","1.0"
"romson?","4.0"
"romson:","2.0"
"sahariska","3.0"
"tusen","4.0"
"fyrtiotal","3.0"
"retroaktiva","1.0"
"yta","4.0"
"strategierna","4.0"
"ersättas","1.0"
"fördrag","1.0"
"vision","1.0"
"belasta","1.0"
"verksamhetens","1.0"
"besökte","2.0"
"hsb","1.0"
"ttip-avtalet","2.0"
"påstått","1.0"
"sanktionsmöjligheter","2.0"
"lastbilstransporterna","1.0"
"tidningar","1.0"
"dominerar","1.0"
"begå","1.0"
"tolkning","2.0"
"miljöfrågorna","1.0"
"jämt","1.0"
"återbetalningsförmåga","1.0"
"skickar","7.0"
"parentes","1.0"
"skickat","2.0"
"bland","41.0"
"lago?","1.0"
"migrationsminister","2.0"
"samlingen","2.0"
"jämn","1.0"
"lysande","1.0"
"mejl","3.0"
"kärnkraftsindustrin","1.0"
"experter","2.0"
"känslan","3.0"
"besittningsskydd","1.0"
"rikta","2.0"
"trodde","4.0"
"ökande","1.0"
"skaklarna","1.0"
"soldater","1.0"
"numret","1.0"
"hur","184.0"
"gentemot","8.0"
"analfabetismen","1.0"
"folkrörelseorganisationer","1.0"
"hus","2.0"
"bosätta","1.0"
"kommunaliseringen","4.0"
"granskningar","4.0"
"sbab?","1.0"
"interpellationsdebatten","5.0"
"markanta","1.0"
"djurens","2.0"
"strikt","1.0"
"uppmanat","1.0"
"kläm","1.0"
"uppmanar","2.0"
"överger","1.0"
"klubbades","1.0"
"böcker","1.0"
"individens","1.0"
"infrastrukturinvesteringar","2.0"
"utkomst","3.0"
"nykolonial","1.0"
"vänsterpartiet","84.0"
"uppenbar","1.0"
"slagits","1.0"
"objektifiering","1.0"
"våldtäktsanmälningar","1.0"
"uppenbarligen","6.0"
"gärna","14.0"
"barn-","3.0"
"grejen","1.0"
"viktiga","28.0"
"rasismens","1.0"
"kompetenscenter","1.0"
"flesta","6.0"
"skillnaden","9.0"
"konstellationer","1.0"
"skillnader","2.0"
"nyss","4.0"
"konstellationen","1.0"
"viktigt","93.0"
"följa","25.0"
"<em>jämtlandsnytt</em>","1.0"
"naturreservat","1.0"
"dagarna","1.0"
"förhörsrum","1.0"
"nigeria","1.0"
"följt","2.0"
"självmålet","1.0"
"följs","4.0"
"besöker","1.0"
"radar","1.0"
"undersökning","1.0"
"skiftet","1.0"
"30 miljoner","1.0"
"folkpartiets","3.0"
"vertolhelikoptrarna","2.0"
"belopp","3.0"
"djurskyddslagstiftning","3.0"
"hyr","7.0"
"individuell","1.0"
"krona","3.0"
"värnas","1.0"
"värnar","9.0"
"städer","3.0"
"tillsynen","1.0"
"lagts","2.0"
"umeå","7.0"
"radio","3.0"
"vapenhandel","1.0"
"mer;","1.0"
"robotar","1.0"
"rot-avdraget","1.0"
"intjänandeperioden?","1.0"
"centraliseras","1.0"
"fredsam","1.0"
"försöka","8.0"
"internationell","1.0"
"promille","2.0"
"international","1.0"
"orsaken","2.0"
"regelverket","7.0"
"dör","3.0"
"individers","1.0"
"idéer","6.0"
"skeendet","1.0"
"utsträckning","6.0"
"bengtsson","3.0"
"nybyggnationen","1.0"
"bokstäverna","1.0"
"wuokko","1.0"
"fackföreningsrörelse","1.0"
"pressarna","1.0"
"försökt","6.0"
"socialarbetarna","1.0"
"författare","1.0"
"deras","38.0"
"samband","9.0"
"nytt","7.0"
"grepp","1.0"
"frackning","1.0"
"fiskeavtal","1.0"
"alliansföreträdare","1.0"
"lättast","1.0"
"pendla","1.0"
"kraftsamla","1.0"
"sådana","23.0"
"efterfrågade","2.0"
"fram","97.0"
"arresten","3.0"
"statskassan","1.0"
"mest","31.0"
"sexfilig","1.0"
"sådant","18.0"
"säkra","3.0"
"ubåtar","1.0"
"bete","1.0"
"beta","1.0"
"finansieringen","1.0"
"regeringsbudgeten","1.0"
"busschaufförerna","1.0"
"centerns","1.0"
"förtroendefråga","1.0"
"yrkeslivet","1.0"
"överväldigande","1.0"
"triggat","1.0"
"bero","2.0"
"sprututbyte","4.0"
"kropp","1.0"
"helikopterutredare","1.0"
"mera","1.0"
"brukarna","1.0"
"självständigt","1.0"
"uttala","1.0"
"liksom","8.0"
"arbetsmarknadsdebatten","1.0"
"kraftfull","2.0"
"tveklöst","1.0"
"inlägg","9.0"
"medfinansieringen","2.0"
"reprisera","1.0"
"resorna","1.0"
"investeringsklausul","1.0"
"tyskland","38.0"
"slutändan","2.0"
"avellan","1.0"
"överklaga","5.0"
"regeringsförklaringen","8.0"
"bett","1.0"
"skruvat","1.0"
"folkomröstningar","1.0"
"konflikterna","3.0"
"kolbrytning","1.0"
"koldioxidutsläpp","1.0"
"ansett","1.0"
"landvinningar","2.0"
"snällaste","1.0"
"krigsmateriel","3.0"
"olikheter","2.0"
"mängd","2.0"
"brandbekämpning","4.0"
"missförstånd","1.0"
"mottagarna","1.0"
"klassklyftorna","1.0"
"byggmarknaden","1.0"
"fack","1.0"
"konsumentombudsmannen","1.0"
"ocker","2.0"
"tillbakadragen","1.0"
"miljöstandard","1.0"
"biståndsbudgeten","1.0"
"christian","3.0"
"sorgligt","5.0"
"fred","8.0"
"billigaste","1.0"
"ändringar","2.0"
"kapitaliseras","2.0"
"forskningspropositionen","1.0"
"tvären","1.0"
"sågverk","1.0"
"tvångsavvisningar","1.0"
"upplåta","1.0"
"oerhörda","2.0"
"drygt","4.0"
"nohrén","2.0"
"rektorn","1.0"
"naturkatastrofen","1.0"
"slöts","1.0"
"står","58.0"
"kompetensen","1.0"
"zhian","1.0"
"fixerar","1.0"
"uppfylla","3.0"
"regelbundet","1.0"
"utsträckt","1.0"
"fixeras","1.0"
"acceptera","7.0"
"dubbelspår","1.0"
"utlokaliserar","1.0"
"utlokaliseras","1.0"
"varifrån","1.0"
"presentation","1.0"
"tilldelas","2.0"
"jättarna","1.0"
"tydliga","15.0"
"arbetsplatserna","1.0"
"misstar","1.0"
"fortsätta","20.0"
"utsträcka","1.0"
"medelklass","1.0"
"intranätet","1.0"
"satsningarna","1.0"
"norska","2.0"
"lagstifta","1.0"
"bröt","1.0"
"misstag","3.0"
"målsättningar","3.0"
"tjänstemannayrken","1.0"
"lokalsamhället","1.0"
"tydligt","40.0"
"sofia","1.0"
"kritisk","4.0"
"teknisk","2.0"
"siffran","2.0"
"fungerade","2.0"
"reaktioner","1.0"
"uppfylls","1.0"
"anpassning","1.0"
"skatteklyftan","2.0"
"palestina","19.0"
"utomhusvistelsen","1.0"
"hyresgästerna","3.0"
"utlokalisera?","1.0"
"ansträngningarna","1.0"
"åtminstone","9.0"
"professorernas","2.0"
"drägliga","1.0"
"fördelats","1.0"
"försvarsmaktens","8.0"
"42 000","1.0"
"ligger","22.0"
"ställning","6.0"
"fria","1.0"
"kränkningar","3.0"
"ändringen","1.0"
"militärövningar","1.0"
"förespråka","1.0"
"forskningsanslag","1.0"
"arbetsbelastningen","1.0"
"tråkigt","2.0"
"energibolag","1.0"
"propaganda","3.0"
"hyresvärd","2.0"
"asyl","12.0"
"förblir","2.0"
"könsmaktsordningen","1.0"
"gjort","27.0"
"tillgångar","5.0"
"stannar","2.0"
"eftersom","35.0"
"väg","10.0"
"representanterna","2.0"
"stannat","1.0"
"aktörerna","1.0"
"uppdagats","1.0"
"norrlandsbrigader","1.0"
"återstår","2.0"
"paraplyorganisation","1.0"
"väl","45.0"
"häkte","1.0"
"ordning","4.0"
"anständigt","1.0"
"fair","1.0"
"negativ","2.0"
"dokument","2.0"
"jämställdhetsintegrering","2.0"
"dessbättre","1.0"
"strikta","1.0"
"politik","40.0"
"vår","45.0"
"återbetalningskraven","1.0"
"nappat","1.0"
"målsättningen","3.0"
"önskvärt","1.0"
"attackerade","1.0"
"psykiatriska","3.0"
"bengt","1.0"
"arbetslivet","2.0"
"lämpligt","1.0"
"återbetalningskravet","1.0"
"uppsplittrad","1.0"
"idé","2.0"
"nyktra","1.0"
"rasistisk","6.0"
"förmår","2.0"
"metoderna","1.0"
"förmån","1.0"
"landets","3.0"
"lägenheterna","1.0"
"landet?","2.0"
"upphandlingsfrågorna","1.0"
"fruktansvärda","1.0"
"avgjorts","1.0"
"bolund","2.0"
"subventioner","13.0"
"förtryckta","1.0"
"ingång","5.0"
"bandvagnarna","1.0"
"öppnande","1.0"
"fall","55.0"
"klimatförhandlingarna","1.0"
"landskap","1.0"
"förföljelse","1.0"
"säker","8.0"
"lämpliga","1.0"
"lagar","6.0"
"rövas","1.0"
"rövat","1.0"
"utsättas","1.0"
"subventionerna?","4.0"
"tydlig","18.0"
"fattigt","2.0"
"huruvida","9.0"
"subventionerna;","1.0"
"foten","9.0"
"ensamstående","1.0"
"frågorna?","1.0"
"vänsterpartist","3.0"
"hamberg","1.0"
"oscarsson","1.0"
"fattiga","4.0"
"snabblånens","1.0"
"viktning","2.0"
"kommer?","1.0"
"cyniska","1.0"
"runt","24.0"
"boken","7.0"
"huvudansvar","4.0"
"tillgången","1.0"
"slåss","2.0"
"energiförsörjning","1.0"
"återbetala","1.0"
"idémässiga","1.0"
"fann","1.0"
"bromsen","1.0"
"modellens","1.0"
"bräckliga","1.0"
"from","1.0"
"nordkorea","1.0"
"europeiska","9.0"
"åtagande","1.0"
"segregation","1.0"
"likvärdigheten","4.0"
"lagen","18.0"
"föranmälda","1.0"
"försvarsbudgetens","1.0"
"stoppa","10.0"
"lagstiftning","13.0"
"järnvägen","11.0"
"värnpliktsförsvar","1.0"
"strunta","1.0"
"ignoransen","1.0"
"ilo","1.0"
"arrangerades","1.0"
"annanstans","1.0"
"skärpning","2.0"
"sakkunniga","1.0"
"klocka","1.0"
"miljörykte?","1.0"
"nagoyaavtalet","1.0"
"tyngd","3.0"
"värdlandsavtalet","1.0"
"allvarligt","8.0"
"domstolsprocessen","1.0"
"försvarsmakten","14.0"
"arbetstagarbegreppet","1.0"
"vartefter","1.0"
"experterna","1.0"
"beståndet","1.0"
"lurar","1.0"
"spiralen","1.0"
"kallad","1.0"
"arbetslösa","1.0"
"decentralisering","2.0"
"utsätter","4.0"
"benen","1.0"
"olja","1.0"
"huvudet","2.0"
"fackförbundet","1.0"
"huvuden","1.0"
"tyskarna","2.0"
"avgöras","1.0"
"hyreshöjning","2.0"
"miljöorganisationer","2.0"
"inlåsta","1.0"
"gladare","1.0"
"fronter","1.0"
"avslöjande","1.0"
"avvecklingen","1.0"
"kommunstyrelseordförande","1.0"
"lägen","1.0"
"tvärtemot","1.0"
"läget","6.0"
"inlärningssvårigheter","1.0"
"efterlevs","3.0"
"resolution","3.0"
"allmänna","4.0"
"fart","2.0"
"meningar","1.0"
"sämsta","2.0"
"snabblånemarknaden","1.0"
"lagstiftningsfråga","1.0"
"vapen","9.0"
"excellent","1.0"
"excellens","1.0"
"håret","1.0"
"utrikespolitisk","1.0"
"passa","5.0"
"spännande","4.0"
"förfärligt","1.0"
"förskjutning","4.0"
"demokratiminister","1.0"
"kraft","4.0"
"persons","1.0"
"platsannonser","1.0"
"handläggning","1.0"
"säkerhetstänkande","2.0"
"platsannonsen","1.0"
"förfärliga","2.0"
"konstruktiv","1.0"
"inkommer","1.0"
"cigaretter","1.0"
"människors","23.0"
"ockerhyror?","1.0"
"protestera","1.0"
"klargör","2.0"
"läktaren","1.0"
"bostadsbidrag","3.0"
"miljöministern","14.0"
"ombildningsstämmor","1.0"
"flyktingar","2.0"
"basindustri","1.0"
"9 a § lss","1.0"
"boendegrupper","1.0"
"förnya","1.0"
"verkligheten","5.0"
"sundin","17.0"
"inrättar","1.0"
"inrättas","3.0"
"aggressiva","1.0"
"minimera","6.0"
"ställdes","2.0"
"it-","1.0"
"fasa","12.0"
"inkluderas","2.0"
"inkluderar","2.0"
"byggherren","1.0"
"åratal","2.0"
"utrikesministern","22.0"
"marockos","3.0"
"fast","18.0"
"hemsida","2.0"
"uppmärksamhet","4.0"
"mandat","3.0"
"eniga","3.0"
"stöd","29.0"
"isf","1.0"
"vinsterna","5.0"
"bekymrad","3.0"
"myndighetsorganisationer","1.0"
"löfven","3.0"
"isp","2.0"
"särbehandling","2.0"
"meningen","6.0"
"ägarpolicy","1.0"
"förloppet","1.0"
"post","1.0"
"understryka","5.0"
"länders","1.0"
"budgetförhandlingarna","2.0"
"ifrågasätta","1.0"
"nina","2.0"
"vänstersväng","1.0"
"passé","1.0"
"utbildas","1.0"
"avseendet","1.0"
"flöde","1.0"
"its","1.0"
"länder?","1.0"
"undertecknat","2.0"
"miljard","2.0"
"utbildad","1.0"
"tveksamma","1.0"
"sakfrågan","1.0"
"rädsla","1.0"
"skattebetalare","2.0"
"port","1.0"
"drabba","2.0"
"migrationskunniga","1.0"
"metallindustrin","1.0"
"läggs","4.0"
"realistiskt","2.0"
"städbranschen","1.0"
"hyreslägenheter","3.0"
"hyreskontraktet","1.0"
"byggherrar","2.0"
"somaliers","1.0"
"påverka","9.0"
"förkovra","1.0"
"akademin?","1.0"
"bristen","2.0"
"stärka","8.0"
"företag","43.0"
"marknadshyror","3.0"
"religiösa","1.0"
"brister","6.0"
"medborgarna","1.0"
"aktör","4.0"
"stärkt","1.0"
"lägga","24.0"
"indikationen","1.0"
"marknadspriset","1.0"
"upphandlingar?","1.0"
"billigt","1.0"
"stärks","1.0"
"styre","2.0"
"brunkolskraftverk","2.0"
"överföring","1.0"
"utredas","3.0"
"billiga","4.0"
"kämpa","1.0"
"försiktigt","2.0"
"styra","10.0"
"styrt","1.0"
"styrs","3.0"
"inloppet","1.0"
"trafikplanerarna","1.0"
"samtliga","7.0"
"miljöaspekter","1.0"
"reglerar","1.0"
"frankrike","2.0"
"krama","1.0"
"försvarsinsatser","1.0"
"miljöaspekten","1.0"
"nedprioriteras","1.0"
"punkten","4.0"
"obestraffat","1.0"
"punkter","4.0"
"eu-regelverk","1.0"
"unga","10.0"
"konkurrenskraft","5.0"
"eurogroup","1.0"
"dummare","1.0"
"innerstad","1.0"
"bostadsrätten","4.0"
"själv?","1.0"
"tingsrätten","1.0"
"procent?","1.0"
"handla","5.0"
"procents","1.0"
"fönster","1.0"
"förskräcklig","1.0"
"bostadsrätter","4.0"
"försämringar","2.0"
"ödesdigert","1.0"
"överflödigt","1.0"
"brottet","2.0"
"försäkringskassans","3.0"
"anonymiseringstjänster","1.0"
"rädda","10.0"
"hyressättning","1.0"
"försvarsattachén","1.0"
"upphör","4.0"
"reapriset","1.0"
"framtagandet","1.0"
"hemma","7.0"
"restriktiv","1.0"
"korrigeras","1.0"
"boendekostnader","1.0"
"2000-talet","2.0"
"vanligare","4.0"
"väldigt","136.0"
"haram","1.0"
"satsningar","14.0"
"uppdatera","1.0"
"stilla","4.0"
"garanterar","1.0"
"utförsäljningar","1.0"
"bifalls","1.0"
"utvisningen","1.0"
"betonat","1.0"
"icke-fasta","1.0"
"bekymrat","1.0"
"rasismen","1.0"
"åter","1.0"
"hanterade","1.0"
"aktionsgrupp","1.0"
"enstaka","4.0"
"avbrytas","1.0"
"bekymrar","1.0"
"sovrummet","1.0"
"tillsättas","1.0"
"sprakabs","1.0"
"investeringsstöd","2.0"
"akademisk","2.0"
"tekniköverföring","3.0"
"sarah","2.0"
"nostrum","2.0"
"socialdemokratiskt","2.0"
"aleksandra","1.0"
"akademiska","1.0"
"fredsorganisationer","1.0"
"marknadsmässiga","2.0"
"vinstjakten","1.0"
"utvisningar","2.0"
"såklart","2.0"
"norden","2.0"
"pansarbandvagnarna","1.0"
"socialdemokratiska","5.0"
"motsättning","1.0"
"bordet","2.0"
"bostadsinvesterare","1.0"
"härmed","1.0"
"brottas","1.0"
"framtidstro","1.0"
"ögonen:","1.0"
"funderade","1.0"
"lägre","11.0"
"privatliv","1.0"
"försäkra","3.0"
"bildt","3.0"
"lägren","1.0"
"reda","4.0"
"krav:","1.0"
"jättejobbigt","1.0"
"handlägger","1.0"
"doppar","1.0"
"kombinera","1.0"
"drömmar","1.0"
"arbetssituation","3.0"
"egnahem","1.0"
"befriad","1.0"
"högsta","9.0"
"kommuninvånarna","1.0"
"bilda","1.0"
"medborgaren","1.0"
"åtagit","1.0"
"relativlöneförändringar","1.0"
"självt","4.0"
"intryck","1.0"
"polen","1.0"
"propositioner","1.0"
"alternativ","3.0"
"åklagarmyndighetens","1.0"
"räkningar","1.0"
"jättepigg","1.0"
"prioritera","7.0"
"högavlönade","1.0"
"projektmedel","1.0"
"själva","21.0"
"bilen","1.0"
"otydligt","2.0"
"semester","1.0"
"satsningen","1.0"
"mindre","21.0"
"sprakab","5.0"
"sköta","6.0"
"jättehög","1.0"
"beslutet","13.0"
"seriös","2.0"
"hepatit","5.0"
"lastbilstransporter","1.0"
"fortsatta","1.0"
"ship","1.0"
"besluten","2.0"
"utvecklar","1.0"
"grät","1.0"
"skärpts","2.0"
"anledningen","6.0"
"jag","1160.0"
"egentligen","22.0"
"övad","1.0"
"försvarsministern","4.0"
"tillståndslösa","1.0"
"sköts","1.0"
"initiativet","2.0"
"skött","1.0"
"propositionen","1.0"
"långsiktighet","1.0"
"nivå","9.0"
"fängslas","1.0"
"gunnarsson","1.0"
"toaletten","1.0"
"kommunstyrelsen","3.0"
"svåra","7.0"
"tryckkostnader","1.0"
"investeringsstödet","3.0"
"minskning","1.0"
"frågat","2.0"
"stadsrådet","1.0"
"frågar","8.0"
"frågan","128.0"
"upprustning","1.0"
"svårt","30.0"
"gustav","2.0"
"skolverket","1.0"
"ringt","1.0"
"alternativet","1.0"
"naturtillgångar","1.0"
"användning","2.0"
"alternativen","3.0"
"påfrestande","1.0"
"diakoni","2.0"
"persontrafik","1.0"
"branden","3.0"
"ögonblick","2.0"
"statsminister","1.0"
"släppa","1.0"
"räckvidd","1.0"
"vidtagits","1.0"
"enskildes","1.0"
"insynsrådet","2.0"
"handel","4.0"
"brådstörtat","1.0"
"handen","2.0"
"välja","5.0"
"gustaf","1.0"
"problemfritt","2.0"
"regi","3.0"
"vänsterpartister","1.0"
"förslag","29.0"
"karlar","1.0"
"prisfrågan","1.0"
"riktmärken:","1.0"
"massa-","1.0"
"uppställts","1.0"
"dagbladet","1.0"
"nytta","4.0"
"släpps","1.0"
"hushåll","1.0"
"senare","19.0"
"igång","5.0"
"skolresultaten","1.0"
"dilemma","1.0"
"försvinner","5.0"
"kajkanter","1.0"
"jämlikt","5.0"
"oärlig","1.0"
"jättehemskt","1.0"
"bostadsmarknad","1.0"
"huvudmannaskap","2.0"
"oacceptabelt","3.0"
"tidigare?","1.0"
"centraleuropeiskt","3.0"
