"party","S"
"skiljs","2.0"
"djurskyddskontroller","1.0"
"transportfrågorna","1.0"
"skärpa","10.0"
"vidareutveckling","1.0"
"centres","1.0"
"bouvengs","1.0"
"omsorgen","18.0"
"skärpt","5.0"
"frakta","7.0"
"ansvarsfördelning","1.0"
"skärps","1.0"
"betala","50.0"
"utbildningen","30.0"
"calmfors","1.0"
"händer","53.0"
"riktning:","1.0"
"kontakter","63.0"
"tydligare","35.0"
"kontakten","6.0"
"turkiet","1.0"
"vinstsyfte","1.0"
"inväntar","3.0"
"kostnadsfritt","2.0"
"resenär","3.0"
"energimarknad","1.0"
"tuffare","4.0"
"igen","90.0"
"betalt","9.0"
"skatteplanering","1.0"
"försöksdjur","4.0"
"systembolagets","10.0"
"nitisk","1.0"
"balans","20.0"
"hävdade","3.0"
"sprids","1.0"
"asylboenden","1.0"
"viset","4.0"
"betedde","1.0"
"vattenbruksmiljö","1.0"
"sammanträffat","1.0"
"administration","7.0"
"ofullkomliga","1.0"
"sverige</em>","1.0"
"rot-avdrag","3.0"
"upprepade","9.0"
"härskartekniker","2.0"
"fiskemöjligheter","1.0"
"plundringen","2.0"
"fristående","6.0"
"brottsbekämpande","28.0"
"kommersialisering","3.0"
"länsstyrelsen","20.0"
"frivilligkrafter","1.0"
"understödja","1.0"
"påtalats","1.0"
"samtal","67.0"
"gymnasieelever","2.0"
"utandningsprov","1.0"
"björklund","9.0"
"stigande","3.0"
"tydliggörandet","1.0"
"dedikerad","1.0"
"stabilitet","15.0"
"längsta","3.0"
"återfalla","2.0"
"täcka","5.0"
"import","4.0"
"presentera","11.0"
"reagerat","2.0"
"minusränta","3.0"
"reagerar","3.0"
"legalt","1.0"
"tillåtit","3.0"
"central","54.0"
"säkrar","3.0"
"intervjun","1.0"
"säkras","1.0"
"säkrat","2.0"
"täckt","1.0"
"tesen","2.0"
"friskolekommitténs","2.0"
"äpplen","4.0"
"bara:","1.0"
"tidningsrubrik","3.0"
"visar","113.0"
"länsstyrelser","13.0"
"trycket","1.0"
"visas","3.0"
"visat","47.0"
"green","9.0"
"dalabataljonen","1.0"
"trycker","3.0"
"bullerfrågan","1.0"
"avvägningen","1.0"
"daglig","3.0"
"försöken","7.0"
"försöker","63.0"
"glesbygden","9.0"
"försöket","6.0"
"författningsdomstol","1.0"
"klassikern","1.0"
"raskt","1.0"
"leveranserna","1.0"
"pensionsförsäkring","2.0"
"citerade","1.0"
"ungas","7.0"
"inkomstutjämningar","1.0"
"utförsäkrad","4.0"
"förkorta","6.0"
"direktörer","1.0"
"nationalpark","2.0"
"utvecklingskraft","1.0"
"stockholmstrakten","1.0"
"därför","640.0"
"samla","19.0"
"riksdagsledamöternas","1.0"
"moderatledamoten","1.0"
"främjar","6.0"
"främjas","6.0"
"planering","8.0"
"tåglinjer","1.0"
"lagliga","7.0"
"statsskulden","19.0"
"sänkningar","4.0"
"bekymmersamt","4.0"
"samma","187.0"
"amerikanerna","3.0"
"institutet","6.0"
"lagligt","3.0"
"inrätta","9.0"
"instituten","6.0"
"verksamhetsförlagda","2.0"
"klivit","1.0"
"portion","1.0"
"kompetensbrist","3.0"
"mäktar","1.0"
"samsyn","30.0"
"elevernas","3.0"
"förbandsverksamheten","1.0"
"tagen","1.0"
"speciallärare","2.0"
"inkomstskattesystemet","1.0"
"otydligheten","1.0"
"försöksverksamheterna?","1.0"
"taget","62.0"
"vindruvor","1.0"
"subventionsgraden","1.0"
"64-74","1.0"
"föregått","1.0"
"åtgärden","21.0"
"miljöhuvudstad.","1.0"
"avtalstiden","1.0"
"järnverken","1.0"
"sammanhållning","1.0"
"trafiksäkerheten","9.0"
"ojämställdheten","4.0"
"malande","1.0"
"klassade","1.0"
"åtgärder","395.0"
"szyber","2.0"
"gagn","5.0"
"betade","1.0"
"ineffektiv","13.0"
"läste","11.0"
"krispaket","2.0"
"alarmerande","1.0"
"inkomstskatt","5.0"
"åtgärdsvalstudie","1.0"
"alkoholmissbruket","1.0"
"räcker","23.0"
"polischefen","1.0"
"arrest","1.0"
"cirkulation","1.0"
"misstanke","6.0"
"österrike","8.0"
"budgetpost","1.0"
"wetterstrand","1.0"
"råvaror","3.0"
"inkomstutjämningen","8.0"
"it-brotten","1.0"
"hanif","41.0"
"beroendeförhållandet","1.0"
"avdragsgillt","3.0"
"värdeutvecklingen","1.0"
"östersjösäkerheten","1.0"
"kraftnäts","1.0"
"inträde","1.0"
"klassat","1.0"
"klassar","1.0"
"inträda","1.0"
"avdragsgilla","7.0"
"småbarnsföräldrar","1.0"
"swedavia","4.0"
"notera","9.0"
"bemanningsföretagen","5.0"
"berättigade","2.0"
"sälen-trysil","1.0"
"sysselsättningsberäkningar","1.0"
"utsätts","10.0"
"bioteknik","4.0"
"praxisdelen","1.0"
"så?","2.0"
"oaktsamhet","2.0"
"neddragning","6.0"
"bokmässan","1.0"
"importerade","1.0"
"fastare","1.0"
"säg","2.0"
"uppstår","15.0"
"forskningsresultat","2.0"
"option","1.0"
"deltidsarbete","2.0"
"försörjer","1.0"
"knape","1.0"
"klivet","1.0"
"dödades","2.0"
"yrkestillhörighet","1.0"
"miljöförvaltningar","1.0"
"vägskäl","1.0"
"välavvägd","1.0"
"arbetsvillkor","13.0"
"sida?","1.0"
"knapp","2.0"
"slutgiltigt","2.0"
"tillåtas","1.0"
"europanivå","1.0"
"konkurrensvillkor","7.0"
"bemanningen","1.0"
"inriktningsbeslut","1.0"
"kongressbeslut","1.0"
"såg","37.0"
"lawen","2.0"
"situationen","113.0"
"nordsjön","1.0"
"bemöda","1.0"
"nedrustningsarbetet","2.0"
"situationer","20.0"
"betvivlas","1.0"
"eu-förhandlingarna","1.0"
"betvivlar","2.0"
"slutgiltiga","1.0"
"sår","1.0"
"administrativt","3.0"
"göteborg","33.0"
"underrättelseverksamheten","1.0"
"ämne","5.0"
"duckar","1.0"
"rakt","5.0"
"detaljutformning","1.0"
"handelsrundor","1.0"
"duckat","1.0"
"raka","2.0"
"lärdomar","2.0"
"administrativa","6.0"
"lämpad","2.0"
"solidaritetsförklaringen","1.0"
"innehållsmässigt","1.0"
"servitris:","1.0"
"gromningen","1.0"
"alkoholblås","1.0"
"sidan","51.0"
"20 procent","1.0"
"stödpaketet","1.0"
"angripas","2.0"
"pågår?","1.0"
"fuska","3.0"
"1 ½","6.0"
"handlingarna","1.0"
"ärekränkningsbrotten","1.0"
"växte","3.0"
"boriana","11.0"
"larmtelefon","1.0"
"hamas","15.0"
"försäkringskassan","48.0"
"tålamod","1.0"
"hållbart","17.0"
"utvecklingskraften","1.0"
"ifrån","63.0"
"tillse","3.0"
"växt-","1.0"
"förväntningarna","1.0"
"former","24.0"
"räddningsarbete","1.0"
"medborgarskap","4.0"
"biljettinformation","4.0"
"idrottsföreningar","1.0"
"parallellt","5.0"
"genomsnittliga","3.0"
"formen","7.0"
"hållbara","28.0"
"formel","1.0"
"ålderspresidenten","1.0"
"bekymmersam","3.0"
"ytspårslösning","1.0"
"avgaser","1.0"
"skatteförslag","2.0"
"platser","41.0"
"eventuell","20.0"
"riksidrottsförbundets","1.0"
"tvivla","4.0"
"värderingsmässiga","2.0"
"prova","3.0"
"gruvdrift","2.0"
"anställningsavtal","2.0"
"häktningsskälen","1.0"
"föreningar?","1.0"
"landsbygdsbutikerna","2.0"
"rape","1.0"
"jämställdhetsskäl","1.0"
"adressera","3.0"
"hälsoarbete","1.0"
"tjänats","1.0"
"götaland","1.0"
"järnvägstransporter","2.0"
"plustjänster","1.0"
"budgetförändringar","1.0"
"hyser","1.0"
"platsen","7.0"
"rödlistade","1.0"
"straffbestämmelserna","1.0"
"parlamentariker","1.0"
"krutet","1.0"
"heroinister","1.0"
"drivhuset?","1.0"
"kollidera","1.0"
"begripliga","1.0"
"möller","1.0"
"branschperspektiv","1.0"
"naivt","6.0"
"hävdats","1.0"
"tillväxtidé","1.0"
"almanacka","1.0"
"branschvis","1.0"
"fortsättning","4.0"
"kilometer","3.0"
"naiva","1.0"
"justeringarna","1.0"
"bedrev","2.0"
"5,3","1.0"
"extractive","1.0"
"uppnåtts","4.0"
"5,5","1.0"
"5,6","1.0"
"järnvägsinfrastrukturen","1.0"
"symtomen","1.0"
"950 000","3.0"
"skogssidan","1.0"
"förtjusta","1.0"
"ansvarsområden","6.0"
"inbilla","1.0"
"förtar","1.0"
"tillförlitligt","1.0"
"regelgivning","1.0"
"knökigt","1.0"
"ungefär","69.0"
"förutsättning","43.0"
"nordiskt","4.0"
"angriper","2.0"
"köld","1.0"
"tillförlitliga","3.0"
"gasa","1.0"
"malmös","2.0"
"expansiva","1.0"
"stolarna","3.0"
"tidsramarna","1.0"
"plats?","1.0"
"tryckte","4.0"
"dialogprocessen","1.0"
"påtalade","1.0"
"underrättelseinhämtning","2.0"
"tvivel","7.0"
"angivna","1.0"
"skattepolitik","1.0"
"läsas","1.0"
"försämrats","4.0"
"arbetslivsforskningen","8.0"
"skånberg?","1.0"
"jemen","1.0"
"växjö","1.0"
"skånbergs","1.0"
"nr 16","1.0"
"ödesfråga","3.0"
"politikerna","8.0"
"kommunsektorn","9.0"
"flykt","6.0"
"alliansstyre","1.0"
"inblandning","1.0"
"bosättarprodukter","5.0"
"påvisar","1.0"
"hemställa","3.0"
"arbetslivets","3.0"
"domen","4.0"
"vistas","14.0"
"krigsflygplan","1.0"
"kvällarna","1.0"
"nordiska","4.0"
"finsamförbund","1.0"
"anestesisköterskor","1.0"
"omdömesgillt","1.0"
"förtal","3.0"
"hälsocentral","1.0"
"500","7.0"
"behörig","1.0"
"gmo-godkännanden","1.0"
"dinamarca","7.0"
"undrade","5.0"
"drogtester","2.0"
"geneva","1.0"
"bedrivs","24.0"
"ministrar","8.0"
"målkonflikter","2.0"
"återges","1.0"
"bedriva","61.0"
"uppföljningen","5.0"
"östersjöregionen","1.0"
"förhindra","27.0"
"häromveckan","1.0"
"köps","2.0"
"köpt","3.0"
"toppade","1.0"
"ungdomarna","24.0"
"apoteket","1.0"
"tillverkningsindustrin","1.0"
"häktningstiderna","9.0"
"(m):","1.0"
"gavs","4.0"
"köpa","21.0"
"kontraktsskrivning","1.0"
"utrett","3.0"
"rossana","8.0"
"skattesänkningarna","11.0"
"brottsbekämpningssynpunkt","1.0"
"logiskt","1.0"
"fluorfritt","1.0"
"skyddsjakt","2.0"
"läser","18.0"
"fakturabedrägerier","1.0"
"inträffar","2.0"
"bryssel","6.0"
"inledas","3.0"
"arbetets","1.0"
"inträffat","3.0"
"farligare","1.0"
"vuxenutbildningsområdet","1.0"
"tillgå","2.0"
"rock'n'roll","1.0"
"tillvaratas","4.0"
"tillvaratar","1.0"
"likadan","1.0"
"behjälpta","1.0"
"trygg","17.0"
"domar","11.0"
"slukar","2.0"
"undrar:","2.0"
"4 procent","1.0"
"slukas","1.0"
"tendens","2.0"
"tillit","2.0"
"effektiva","32.0"
"köhler","1.0"
"sover","1.0"
"endast","23.0"
"vårbudgeten","2.0"
"dubbelt","14.0"
"råmärken","1.0"
"effektivt","67.0"
"körs","2.0"
"kommunpoliser","1.0"
"kört","1.0"
"ambitionerna","2.0"
"riksnivå","1.0"
"flyga","6.0"
"visste","5.0"
"världsunikt","1.0"
"ograverad","1.0"
"sjukvårdspolitiska","1.0"
"kvalitetssäkrat","1.0"
"imponerande","1.0"
"sålts","1.0"
"uppfattningen","30.0"
"arbetet?","1.0"
"samhällsnyttan","1.0"
"längre?","1.0"
"köra","20.0"
"löfte","5.0"
"remissbehandling","1.0"
"sjukvård","13.0"
"vattenfall","67.0"
"halvt","8.0"
"ömsesidigt","6.0"
"ansvarsfördelningen","4.0"
"bestämmas","1.0"
"anmälningar","4.0"
"sysselsatta","8.0"
"klasskamrater","1.0"
"arjeplog","1.0"
"uppteckning","1.0"
"misstolkning","1.0"
"brottsutredande","1.0"
"genera","1.0"
"avses","5.0"
"inledde","6.0"
"avser","268.0"
"trädgårdsnäringen","1.0"
"fortleva","1.0"
"luftrum","2.0"
"förstå","33.0"
"regelbrott","1.0"
"fredsplaner","1.0"
"fritt","17.0"
"nedskrivningarna","2.0"
"550","2.0"
"ungdomsarbetsgivaravgifterna","2.0"
"etanolen","1.0"
"skattenivå","1.0"
"ömsesidiga","6.0"
"halva","5.0"
"trafikolycka","1.0"
"ovärdiga","1.0"
"kött","3.0"
"upphandlingsregelverket","1.0"
"diskriminerande","3.0"
"ansvarsfull","9.0"
"nationellt","36.0"
"ovärdigt","1.0"
"expansion","3.0"
"inskränka","1.0"
"föryngringarna","1.0"
"gaza","9.0"
"stiltje","1.0"
"inleder","2.0"
"nationella","91.0"
"livgardet","1.0"
"provanställning?","1.0"
"statsbudgeten","4.0"
"decentraliserat","1.0"
"delstaterna","3.0"
"avslår","1.0"
"inskränks","5.0"
"avslås","2.0"
"fordonen","6.0"
"intensiteten","1.0"
"storage","1.0"
"säkerhetsbedömningarna","1.0"
"jas-affären","1.0"
"bostadsköer","1.0"
"systemkollaps","1.0"
"inlåst","2.0"
"dialog","148.0"
"omanalysen","2.0"
"stridsgrupper","1.0"
"överklagar","2.0"
"läkarna","3.0"
"trafiksystem","2.0"
"försöksdjursstatistiken","1.0"
"överklagat","1.0"
"omanalyser","1.0"
"överklagas","4.0"
"krishanteringsförmåga","1.0"
"övrigt","45.0"
"reserve","1.0"
"flygplatskapaciteten","1.0"
"rescue","1.0"
"underdånigt","1.0"
"missbrukaren","1.0"
"investeras","3.0"
"kotterier","1.0"
"investerat","2.0"
"saknar","18.0"
"bestämmer","9.0"
"saknas","17.0"
"löneomräkningen","1.0"
"investerar","11.0"
"frisk","9.0"
"utförsäkra","2.0"
"tillval","2.0"
"rökfria","1.0"
"alliansbudget","1.0"
"slutreplik","1.0"
"övriga","52.0"
"notifieras","1.0"
"uppfattningar","20.0"
"skadegörare","1.0"
"miljardvinster","1.0"
"förtidspension","2.0"
"pensionsfrågor","1.0"
"medvetenheten","1.0"
"påträffas","1.0"
"fackklubben","1.0"
"påträffar","1.0"
"byrån","1.0"
"tryck","4.0"
"samtalet","1.0"
"elproduktion?","1.0"
"merkel","3.0"
"samtalen","11.0"
"problematik","4.0"
"lämpligaste","3.0"
"talespersonen","1.0"
"oacceptabla","5.0"
"tilläggsdirektiven","3.0"
"kärnkraftsreaktorerna","1.0"
"sysselsättningseffekt","8.0"
"fullgod","1.0"
"förste","3.0"
"konsekvensanalys","1.0"
"sanktionspolitik","2.0"
"vårdcentraler","2.0"
"missbrukarna","2.0"
"potentiella","2.0"
"särskilda","44.0"
"brand","2.0"
"teres","1.0"
"särskilde","1.0"
"arbetsförmedlingen","115.0"
"omlastas","1.0"
"grundpositiv","1.0"
"ansenlig","1.0"
"arbetsmarknadspolitikens","3.0"
"företagare","31.0"
"frustration","3.0"
"språktesterna","1.0"
"tillskapat","1.0"
"vårdcentralen","1.0"
"handelshögskolan","1.0"
"miljöprestanda","1.0"
"exakt","56.0"
"påfrestningar","2.0"
"potentiellt","1.0"
"fallande","7.0"
"transportsektorns","5.0"
"fackföreningsrörelsen","5.0"
"energipolitisk","1.0"
"framtidssektor","1.0"
"grundnivå","1.0"
"skattekraften","2.0"
"oönskad","3.0"
"håll;","1.0"
"övnings-","1.0"
"akter","1.0"
"gratis","5.0"
"betungande","3.0"
"frihandel","5.0"
"rumänska","2.0"
"grundproblematiken","1.0"
"utbildningsinvesteringar","1.0"
"barnkonventionen","6.0"
"grund-","1.0"
"byggbranschen","2.0"
"förbundna","2.0"
"regeringskretsen","1.0"
"bemötta","1.0"
"modernare","1.0"
"accountability","1.0"
"starten","2.0"
"högskolors","1.0"
"fördelningsbesluten","1.0"
"utmärker","1.0"
"avgiften","4.0"
"rättfärdigar","1.0"
"politikutveckling","1.0"
"hålla","81.0"
"lilla","13.0"
"sedd","1.0"
"syria","1.0"
"saldo","1.0"
"frivilligkårer","1.0"
"ända","14.0"
"första","180.0"
"hedh","2.0"
"kunnig","1.0"
"hålls","2.0"
"kritiken","21.0"
"vidgas","1.0"
"försvarsplaneringen","1.0"
"avgifter","17.0"
"överens","201.0"
"åtgärdsprogrammen","1.0"
"styråror:","1.0"
"norra","29.0"
"joint","2.0"
"höginkomsttagare","6.0"
"verkade","3.0"
"kollektivt","10.0"
"protokollets","1.0"
"avtalsenlig","1.0"
"organisationer","64.0"
"riksbanken","1.0"
"omdöme","1.0"
"organisationen","22.0"
"underskattas","1.0"
"företagsledningen","1.0"
"underskattar","1.0"
"verklighetsflykt","1.0"
"järnvägsunderhållet","11.0"
"kollektiva","2.0"
"vårdbehov","2.0"
"transportpolitiken","3.0"
"hamna","27.0"
"asylbeslut","2.0"
"konjunkturcykel","5.0"
"hugga","1.0"
"tidsfrist","1.0"
"brottslighet","41.0"
"norsk","1.0"
"världsläge","1.0"
"flickors","4.0"
"underskattad","1.0"
"försämrade","7.0"
"renommé","1.0"
"separata","2.0"
"förhåller","3.0"
"skattenedsättningarna","1.0"
"beskrivits","1.0"
"hamn?","1.0"
"avtal","47.0"
"hushållen","6.0"
"mängdrabatt","1.0"
"finansplanen:","2.0"
"åkeribransch","1.0"
"140 000","4.0"
"hejd","2.0"
"effektivisera","29.0"
"resulterar","4.0"
"faktagrund","1.0"
"inviterar","1.0"
"norr-","1.0"
"hel-","1.0"
"resulterat","3.0"
"gränsdragningsproblematik","3.0"
"sjukvården","30.0"
"utförsäkring","4.0"
"övergavs","1.0"
"hushållet","4.0"
"<em>alice","2.0"
"handelshinder","2.0"
"exportorienterat","2.0"
"inhämta","4.0"
"ändå","166.0"
"övers","1.0"
"socialpolitiken","2.0"
"visionärt","1.0"
"järnvägens","7.0"
"flygförbindelserna","1.0"
"hemtrakter","1.0"
"flyter","1.0"
"startar","9.0"
"gummi","1.0"
"konstitutionsutskottet","7.0"
"konstruktivare","1.0"
"överlevnadskraft","1.0"
"utlämnande","4.0"
"idé:","1.0"
"startat","7.0"
"startas","3.0"
"lapsus","1.0"
"hela","463.0"
"ögonblicket","1.0"
"strandnära","3.0"
"växtmaterial","1.0"
"trafikkontroller","1.0"
"tvingade","1.0"
"ockupation","4.0"
"riksdagsledamoten","4.0"
"växla","1.0"
"vapenavtal","1.0"
"tillfällen","25.0"
"likartade","1.0"
"människosmugglare","1.0"
"dagordningen","8.0"
"utreds","10.0"
"skyldigheten","2.0"
"skyldigheter","2.0"
"tillfället","10.0"
"påskina","2.0"
"lastbilsskatt","1.0"
"cyberbrottscentret","1.0"
"hastighet","2.0"
"utredd","2.0"
"tillkännagivit","1.0"
"hem-","7.0"
"utreda","79.0"
"budgetpropositionen","87.0"
"idén","5.0"
"propp","1.0"
"eu-parlamentariker","2.0"
"välståndet","1.0"
"över?","1.0"
"budgetpropositioner","1.0"
"ombildningar","1.0"
"ännu","117.0"
"beviljas","9.0"
"drabbade","17.0"
"beviljar","3.0"
"förhållit","1.0"
"förordat","1.0"
"vårdnadshavare","12.0"
"fabrik","2.0"
"rökning","1.0"
"relationerna","6.0"
"ombildningen","3.0"
"balansgång","4.0"
"transportsätt","1.0"
"energieffektiv","1.0"
"skolpolitiken","1.0"
"närmande","1.0"
"plåga","2.0"
"arbetsmetoden","1.0"
"sålde","9.0"
"energimarknadsinspektionen","1.0"
"musikkårernas","1.0"
"kunnat","72.0"
"lågtröskelverksamheter","1.0"
"arbetsmetoder","3.0"
"organisering","5.0"
"ihop","88.0"
"grannar","6.0"
"bedrift","1.0"
"helt","338.0"
"handlägga","1.0"
"speciellt","21.0"
"flygmöjligheter","1.0"
"handläggs","2.0"
"tär","1.0"
"salen","3.0"
"självklar","7.0"
"språkutbildningen","1.0"
"terroristnätverken","1.0"
"förhandlingsman","2.0"
"kolleger:","1.0"
"budgetramen","2.0"
"skogsbrand","2.0"
"efterlängtade","1.0"
"frågeställningen?","1.0"
"laval","4.0"
"infrastrukturbehoven","1.0"
"speciella","10.0"
"tåg","31.0"
"tillfällig","5.0"
"tål","1.0"
"skämmas","2.0"
"förnyelse","1.0"
"välfärdsverksamheterna","6.0"
"betesmarker","1.0"
"förhandlingsrätten","1.0"
"procedurer","1.0"
"orsakats","1.0"
"lillasyster","1.0"
"hälsoområdet","1.0"
"proceduren","1.0"
"sent","25.0"
"punktskattekontroller","1.0"
"sena","1.0"
"överlever","6.0"
"strålande","1.0"
"deltagandet","2.0"
"sakfråga","2.0"
"skick","9.0"
"pysselsättning","2.0"
"avstå","3.0"
"energipolitik","1.0"
"rulla","1.0"
"ungdomsvården;","1.0"
"äldreområdet","1.0"
"yezidier","2.0"
"lagstiftaren","2.0"
"sneckers","3.0"
"herr","811.0"
"tillsynsmyndigheterna","1.0"
"erbjudits","1.0"
"helgeandsholmen","1.0"
"avvecklades:","1.0"
"brottats","1.0"
"utredande","1.0"
"växer","19.0"
"generera","4.0"
"miljöbalken","6.0"
"startinvesteringar","1.0"
"energisektorn","3.0"
"poolrengöring","4.0"
"ödesfrågor","2.0"
"flytt","1.0"
"normaliserade","1.0"
"ser?","2.0"
"reservationer","2.0"
"proportionellt","1.0"
"kommunicerar","1.0"
"kommunicerat","1.0"
"johanssons","3.0"
"flyta","1.0"
"möjlighet","262.0"
"omoraliskt","2.0"
"svenskregistrerade","1.0"
"pengarna","84.0"
"invändning","1.0"
"hemmet","3.0"
"budskap","4.0"
"värdmoderskap","1.0"
"demonstrera","2.0"
"hemmen","2.0"
"igångsatt","1.0"
"visades","1.0"
"jättepositivt","1.0"
"heroinist","1.0"
"biologiska","6.0"
"producenterna","1.0"
"barnbidrag","1.0"
"hustaket","1.0"
"avtalsområde","1.0"
"regera","4.0"
"avsikterna","2.0"
"konsekventa","4.0"
"buds","1.0"
"häktningsförhållandena","1.0"
"jobbat","28.0"
"fruktansvärt","6.0"
"arbetsmarknadsutskottet","3.0"
"dager","1.0"
"heta","1.0"
"efterlevandekontroll","1.0"
"pensionärsorganisationer","2.0"
"jobbas","1.0"
"jobbar","98.0"
"dagen","21.0"
"handelsrelation","1.0"
"äldreomsorgsbehov","1.0"
"regelförenklingar","4.0"
"genomsyrar","1.0"
"verkställigheten","1.0"
"yviga","1.0"
"jobba?","2.0"
"litauen","2.0"
"bekräftar","1.0"
"självförsörjningsgrad","6.0"
"bekräftas","1.0"
"introducera","3.0"
"obligatoriskt","2.0"
"konkurrensutsätta","1.0"
"6,2","1.0"
"tilläggsuppdrag","1.0"
"genomsyras","1.0"
"näraliggande","1.0"
"omvittnat","1.0"
"yttersta","6.0"
"amerikanen","1.0"
"villkor","54.0"
"finansborgarrådet","1.0"
"arbetsrätten","1.0"
"försvarets","4.0"
"dessa","465.0"
"helena","15.0"
"fördragsändring","1.0"
"omprövas","2.0"
"obligatoriska","1.0"
"referensföretag","1.0"
"optionsfrågan","1.0"
"60 000","1.0"
"försöksverksamhet","19.0"
"skolundervisning","1.0"
"kontext","3.0"
"dubbelnej","1.0"
"6-7","1.0"
"committee","1.0"
"förluster","2.0"
"räntelägen","1.0"
"lönerelaterade","2.0"
"fruktansvärd","4.0"
"sett","167.0"
"bostadsändamål","2.0"
"förlusten","1.0"
"union","1.0"
"jobbade","8.0"
"målsäganden","1.0"
"gynnade","2.0"
"5 000","6.0"
"utgiftsökning","1.0"
"mänsklig","3.0"
"uppklarningsandel","1.0"
"tvistlösningsmekanismerna?","1.0"
"varaktig","1.0"
"instrumentellt","1.0"
"halkolyckorna","2.0"
"ränteläget","3.0"
"agerande","21.0"
"standard","5.0"
"grundade","1.0"
"jobben","76.0"
"alkoholprodukter","2.0"
"narkotikapolitiken","4.0"
"definiera","3.0"
"tvåårsperiod","1.0"
"osakliga","2.0"
"sälja","20.0"
"rubriker","1.0"
". så","1.0"
"personskydd","1.0"
"dagar","27.0"
"asylrätt","1.0"
"gymnasiekompetens","13.0"
"palestinier","5.0"
"kedjorna","1.0"
"ekonomi","54.0"
"förtätas","1.0"
"jobbet","28.0"
"skadelindring","1.0"
"kombination","12.0"
"fiske","5.0"
"avvikande","8.0"
"statsråden","1.0"
"välfärdsföretag","4.0"
"gåvor","15.0"
"luftfartsmyndigheterna","1.0"
"rubriken","2.0"
"instruktion:","1.0"
"huvuduppdraget","1.0"
"10 miljoner","1.0"
"inrättades","1.0"
"600","5.0"
"fixar-bettan","2.0"
"motstånd","8.0"
"gemenskap","5.0"
"krävde","4.0"
"självständighet","5.0"
"utrikestjänst","2.0"
"levnadsstandard","1.0"
"monopolet","5.0"
"riksdagens","70.0"
"arhe","3.0"
"formats","1.0"
"verbalt","1.0"
"preliminära","2.0"
"sälla","1.0"
"gmo-myndigheter","4.0"
"bukt","4.0"
"statsrådet","105.0"
"expertmyndigheter","1.0"
"miljösmart","1.0"
"kalaset","1.0"
"kontaktledningar","2.0"
"stabiliteten","1.0"
"marginal","1.0"
"framkommit","4.0"
"socialt","14.0"
"regeringsförklaring","5.0"
"unika","3.0"
"omvärldsläge","3.0"
"totalstopp","1.0"
"visioner","1.0"
"kartläggning","5.0"
"optimistisk","2.0"
"överensstämmer","1.0"
"vapenärenden","1.0"
"krävas","6.0"
"sociala","34.0"
"assistansen","1.0"
"förtjänstfullt","1.0"
"anständiga","2.0"
"arbetsmarknadsetablering","1.0"
"skattemedel","14.0"
"föreningar","11.0"
"säljs","3.0"
"hotats","1.0"
"unikt","8.0"
"varsamma","1.0"
"kock","2.0"
"alltför","27.0"
"angavs","3.0"
"åldrar","2.0"
"löftet","3.0"
"vidareutveckla","4.0"
"nedtrappade","1.0"
"köpet","2.0"
"ologiskt","1.0"
"amineh","16.0"
"kvarvarande","1.0"
"köper","9.0"
"löften","3.0"
"sjukpenningtalet","2.0"
"handläggare","6.0"
"dagens","26.0"
"branschorganisationer","3.0"
"approach","1.0"
"förtidspensionera","1.0"
"alkoholbommar","2.0"
"ägnade","4.0"
"stammar","1.0"
"köpen","1.0"
"kontrollmöjligheter","2.0"
"flygplatserna","10.0"
"aktivitetsförbud","1.0"
"shipyards","1.0"
"trafikolyckan","1.0"
"partigränser","1.0"
"påverkade","6.0"
"tveksamhet","1.0"
"utredning?","1.0"
"självfallet","14.0"
"förlita","2.0"
"omgärdar","1.0"
"fastighetsvärden","1.0"
"pratas","1.0"
"pratar","42.0"
"rådgivning","5.0"
"småorter","1.0"
"djurförsöken","1.0"
"investeringsbanken","1.0"
"skurits","2.0"
"pratat","6.0"
"användandet","4.0"
"klichéartat","1.0"
"beredningen","10.0"
"kommuners","1.0"
"flygövningen","1.0"
"breddades","1.0"
"mottagaren","2.0"
"balanserad","3.0"
"instans","2.0"
"(2003:778)","1.0"
"tillsätta","38.0"
"folkhögskola","2.0"
"kommer","1575.0"
"balanserar","1.0"
"balanseras","1.0"
"balanserat","2.0"
"inköp","1.0"
"dominans","1.0"
"katten","11.0"
"ledas","1.0"
"medlingsinstitutet","4.0"
"produktivitetstillväxt","2.0"
"hunnit","8.0"
"tillsätts","2.0"
"faktiskt","212.0"
"stryka","4.0"
"resurseffektiva","3.0"
"tvångsmedlen:","1.0"
"(ceta)","1.0"
"faktiska","10.0"
"faktaförhållandet","1.0"
"smarta?","1.0"
"lettland","2.0"
"vägvisning","1.0"
"anställa","25.0"
"jämställdhetssynpunkt","1.0"
"anställd","10.0"
"koka","2.0"
"sysselsättningsutvecklingen","3.0"
"lööf","1.0"
"skuldsättning","1.0"
"undersökte","1.0"
"modifierade","6.0"
"inspirerade","1.0"
"överlämnats","15.0"
"bröstar","1.0"
"produktivitetshöjande","1.0"
"anställs","2.0"
"säkerhetsproblem","1.0"
"anställt","1.0"
"kulturliv","1.0"
"våldsrekvisitet","1.0"
"moderater:","1.0"
"kustnära","1.0"
"våldsrekvisiten","1.0"
"exkluderar","1.0"
"historiens","1.0"
"exkluderas","1.0"
"tid?","1.0"
"färdigberett","1.0"
"studenter</em>","2.0"
"basis","6.0"
"förankra","3.0"
"kontinenter","1.0"
"domstolarna","4.0"
