"party","M"
"skattehöjningarna","11.0"
"sägas","4.0"
"amspolitik","2.0"
"tondövt","1.0"
"fynden","3.0"
"biståndet","8.0"
"hotad","3.0"
"brobyggnationer","1.0"
"platserna","2.0"
"aktualiserats","2.0"
"flotta","1.0"
"frågor","207.0"
"ung","13.0"
"myndighetsstruktur","3.0"
"tomma","20.0"
"2013-2016","1.0"
"hjälpas","2.0"
"areal","1.0"
"intagit","2.0"
"tålmodigt","1.0"
"varmaste","1.0"
"grann","55.0"
"3,1","1.0"
"flytten","1.0"
"undan","29.0"
"3,5","1.0"
"framväxten","1.0"
"svikits","1.0"
"utformningskrav","1.0"
"lunch","1.0"
"utbildningsväsen","1.0"
"bemanningsbranschen","9.0"
"orten","3.0"
"orter","21.0"
"tioårsperioden","1.0"
"råsocialistiska","1.0"
"kriminaliserat","1.0"
"erbjuder","8.0"
"skenande","4.0"
"håkan","2.0"
"allehanda","1.0"
"minskande","1.0"
"alliansregeringen","154.0"
"föregicks","1.0"
"vinstintresse","1.0"
"påpekats","1.0"
"brev","7.0"
"livsmedelsstrategi","13.0"
"uttömmande?","1.0"
"2006-2014","1.0"
"underskotten?","1.0"
"ansats","7.0"
"upp","415.0"
"skötselmetoder","1.0"
"johan","9.0"
"ansvarsställning","1.0"
"40-70","2.0"
"givande","2.0"
"lanserade","2.0"
"2006-2010","1.0"
"ansöker","1.0"
"några","273.0"
"kärnkraftverken","2.0"
"recensera","4.0"
"etablerad","1.0"
"nedsättningen","6.0"
"motsats","3.0"
"avdömning","1.0"
"studentsamarbete","1.0"
"forskningen?","1.0"
"etablerat","1.0"
"erkänt","11.0"
"starkaste","19.0"
"klar","12.0"
"produktiva","2.0"
"flaskhals","1.0"
"pristillägg","1.0"
"klienters","1.0"
"motsatt","9.0"
"vinodlare","2.0"
"fuskar","1.0"
"oändligt","3.0"
"ut.","1.0"
"forskningens","1.0"
"bifall","1.0"
"300","6.0"
"tilltar","1.0"
"kultur-","4.0"
"välfärdsperspektiv","1.0"
"servitrisen","1.0"
"hemvärnsmän","1.0"
"ut:","1.0"
"308","1.0"
"miljövänligaste","1.0"
"lunds","16.0"
"satellit","2.0"
"40-50","1.0"
"fornarves","1.0"
"alkohol-","1.0"
"ut?","14.0"
"äganderätten","2.0"
"usa","28.0"
"körskoleverksamhet","2.0"
"disponibla","1.0"
"kurirer","2.0"
"oklokt","2.0"
"särklass","1.0"
"släpar","1.0"
"månad","15.0"
"kostnads-","1.0"
"rabbiner","1.0"
"312","1.0"
"försvarsdebatten?","1.0"
"avverkningsmodell","1.0"
"utbetalningar?","1.0"
"imponeras","2.0"
"arbetsmarknadsregulator","1.0"
"gällande","18.0"
"regelverk?","1.0"
"arlanda","53.0"
"bostadsbolag","2.0"
"vinkling","1.0"
"inriktad","2.0"
"ute","64.0"
"spisen","1.0"
"erkänd","1.0"
"skeden","2.0"
"transportstyrelsens","1.0"
"halvåret","3.0"
"skedet","2.0"
"nyhetsfokus","1.0"
"inriktas","1.0"
"alliansregeringar","1.0"
"ansökan","7.0"
"utbildningsnivån","1.0"
"försämringarna","1.0"
"säkerhetspolitiken","1.0"
"operativ","1.0"
"försvarspolitiken","3.0"
"genomlevt","1.0"
"skaffade","1.0"
"rättslöshet","1.0"
"jobbtillväxt","7.0"
"amortera","1.0"
"låter","44.0"
"nuon","2.0"
"synlig","1.0"
"paradox","3.0"
"bestående","2.0"
"plattform","3.0"
"dividera","2.0"
"tillståndsärendena","1.0"
"16-åringen","1.0"
"tidsbegränsade","2.0"
"bemöta","3.0"
"skedde","10.0"
"15-75","1.0"
"banan","2.0"
"ambitioner.","1.0"
"bedömarna","1.0"
"byter","5.0"
"tjeckoslovakien","1.0"
"fordonsbeskattning","1.0"
"bron","1.0"
"föranledde","4.0"
"ursprungliga","2.0"
"betydligt","42.0"
"ohelig","2.0"
"brottskatalogen","1.0"
"350","1.0"
"teoribildning","1.0"
"kvalitetsfrågan","1.0"
"arbetsmarknad?","1.0"
"språk","3.0"
"inflyttare","1.0"
"beställaransvaret","1.0"
"generationsmålet","1.0"
"utbyta","1.0"
"låtsasjobb","1.0"
"acceptans","2.0"
"utbyte","2.0"
"ifau","8.0"
"debattartikel","7.0"
"fästa","1.0"
"delar?","1.0"
"inspektioner","1.0"
"inrikes","2.0"
"inspektionen","2.0"
"piska","3.0"
"csn-lån","1.0"
"beakta","3.0"
"360","1.0"
"boxen","1.0"
"maxbegränsning","1.0"
"resonemang","13.0"
"byggandet","10.0"
"fyrbodalsregionen","1.0"
"borttagande","3.0"
"kylningen","1.0"
"iogt-nto","1.0"
"finné","2.0"
"svepande","3.0"
"eu-kommissionären","1.0"
"ingrepp","3.0"
"perfekta","2.0"
"scb?","1.0"
"industri","16.0"
"drivmedelskostnaderna","1.0"
"bondförnuft","1.0"
"controlled","2.0"
"385","1.0"
"etiketter","1.0"
"ingår","19.0"
"lågstadiet","5.0"
"reglerna","22.0"
"kliv","8.0"
"följande","9.0"
"mamma","2.0"
"helsingborg","8.0"
"medlemsavgifter","3.0"
"trafikpolis","1.0"
"partiföreträdare","1.0"
"dadgostar","3.0"
"helhet","11.0"
"stimulansnivån","1.0"
"lasta","3.0"
"hyresgästinflytande","1.0"
"gemensam","12.0"
"sammanfattningsvis:","1.0"
"utsläppen","15.0"
"pressad","2.0"
"direktåtkomst","1.0"
"skattelättnaden","1.0"
"tecken","4.0"
"pressar","1.0"
"näringsverksamhet","4.0"
"1.9.1","1.0"
"oskuldspresumtionen","2.0"
"medborgare","17.0"
"konstruktivitet","2.0"
"exportförbud","1.0"
"etableringsreformens","1.0"
"kategorisera","1.0"
"ångrade","1.0"
"inkomsttagare","3.0"
"18 000","1.0"
"13-14-åringar","1.0"
"energianvändning","1.0"
"proteintillskott","1.0"
"klok","4.0"
"världsekonomin","5.0"
"matematik","2.0"
"klimatminister","2.0"
"undervisningstimmar","1.0"
"parkerar","1.0"
"nagga","7.0"
"föranleder","6.0"
"bostadsboomen","1.0"
"transportkostnaderna","2.0"
"läkemedelsgenomgångarna","1.0"
"finns","1016.0"
"befolkningsökning","1.0"
"överväganden","12.0"
"mandatperiod","12.0"
"posterna","1.0"
"agera","20.0"
"sicksack","1.0"
"byggande?","1.0"
"rättsväsendet","10.0"
"lopp","1.0"
"upplåningen","1.0"
"virkesförrådet","1.0"
"tillkommer","2.0"
"politikernas","1.0"
"framåtsyftande","3.0"
"marknadsmisslyckanden","1.0"
"diskussionsunderlag","1.0"
"omvägen","1.0"
"kostnaden","26.0"
"fåna","1.0"
"förbereder","2.0"
"byggare","1.0"
"valpar","2.0"
"försäkringsskydd","1.0"
"kostnader","66.0"
"byggas?","2.0"
"skuggan","3.0"
"teleoperatörerna","1.0"
"loss","2.0"
"dessvärre","5.0"
"avtrappningen","2.0"
"prioriteringar.","1.0"
"vad","839.0"
"kommunföreträdare","1.0"
"wykman","7.0"
"slapphänt","1.0"
"avlång","1.0"
"val","22.0"
"transparenta","1.0"
"verksamhet","78.0"
"detaljplaner","3.0"
"var","1041.0"
"komplicerande","1.0"
"omröstningen","1.0"
"inkomsterna","6.0"
"skriva","9.0"
"misstänka","1.0"
"överutnyttja","1.0"
"grunderna","2.0"
"bindande","6.0"
"denna","292.0"
"förberedde","2.0"
"finna","4.0"
"missbrukar","3.0"
"klot","2.0"
"förberedda","4.0"
"sysselsättningskrav","2.0"
"missbrukas","2.0"
"missbrukat","1.0"
"nulägesbilden","1.0"
"flyttat","4.0"
"ingångarna","1.0"
"flyttar","9.0"
"flyttas","9.0"
"patenträtten","1.0"
"gender","1.0"
"7 november","1.0"
"huvudsaklig","1.0"
"bryr","5.0"
"genomtänkta","5.0"
"förstärkta","10.0"
"riksbankschefen","2.0"
"ängelholms","3.0"
"papperslösa","1.0"
"öresundsbron;","1.0"
"tacksam","7.0"
"propositionerna","1.0"
"detaljplanen","1.0"
"lova","17.0"
"framhölls","1.0"
"gränsdragningarna","1.0"
"marknadsanpassade","1.0"
"9 500","2.0"
"säljmöte","1.0"
"eftermiddagen","9.0"
"paralleller","2.0"
"lyssnat","6.0"
"lott","1.0"
"bebyggd","1.0"
"lyssnar","28.0"
"dubblera","3.0"
"tilltro","2.0"
"tillkommit","10.0"
"sakerna","9.0"
"bebygga","2.0"
"rehabiliteringsinsatser","1.0"
"alkoholbehov","1.0"
"tiveden","1.0"
"finansdepartementet","26.0"
"straffskärpning","2.0"
"hyresgästföreningens","1.0"
"henne;","1.0"
"1 juli","1.0"
"ettor","2.0"
"henne?","1.0"
"lönedumpningar","1.0"
"tomas","5.0"
"tidpunkt?","1.0"
"essingeleden","3.0"
"banne","1.0"
"israeliska","2.0"
"verktygslåda","1.0"
"provsmakning","1.0"
"vem","32.0"
"ordentlig","5.0"
"traumatiska","1.0"
"bytts","1.0"
"bygga?","1.0"
"åstadkommit","1.0"
"nålpengar","2.0"
"vet","259.0"
"motfrågan:","1.0"
"sänktes","3.0"
"anledning","45.0"
"prissättningen","1.0"
"<em>ett</em>","2.0"
"ministerstatus","1.0"
"medpassagerare","1.0"
"motsagd","1.0"
"signifikant","1.0"
"kapacitetstaket","1.0"
"trafikdatalagringen","1.0"
"kontoret","2.0"
"bevisproblematiken","1.0"
"kontoren","1.0"
"ex-post-effekten","1.0"
"mervärde","2.0"
"fått","190.0"
"låste","1.0"
"hennes","42.0"
"tillämpligt","1.0"
"hållbarhet","2.0"
"företeelser","1.0"
"penningpolitik","1.0"
"förstafrågan","1.0"
"skrivs","2.0"
"mentala","1.0"
"begärt","1.0"
"spenderpolitik","1.0"
"jakten","3.0"
"vi:","1.0"
"nedmonterar","2.0"
"specialiserade","1.0"
"helhetsansvar","1.0"
"begära","7.0"
"anslagsfinansierad","1.0"
"stimulanser","1.0"
"gravt","2.0"
"verksamhetsutvecklingen","1.0"
"kvarleva","1.0"
"byggas","28.0"
"veronica","2.0"
"publicerade","2.0"
"repatrieras","1.0"
"notan","6.0"
"delbetänkandet","1.0"
"sjukdom","6.0"
"restaurangsektorn","6.0"
"fridolin","20.0"
"tåget","6.0"
"it-centret","2.0"
"egentligt","3.0"
"utvecklingsprojekten","1.0"
"via","32.0"
"färdigställandet","1.0"
"4 434","1.0"
"vid","210.0"
"råd","23.0"
"underrättelsekaraktär","1.0"
"dygn","1.0"
"byggbolagens","1.0"
"läsning","2.0"
"spårlöst","1.0"
"introduktion","1.0"
"egentliga","2.0"
"bemöter","2.0"
"hanen","1.0"
"dyker","3.0"
"rån","4.0"
"vin","18.0"
"påtryckningar?","1.0"
"konstaterades","2.0"
"debattörerna","2.0"
"bidragsutbyggningar","1.0"
"vit","2.0"
"vis","7.0"
"åstadkommer","1.0"
"verkställas?","1.0"
"familjer","9.0"
"tjafs","1.0"
"israels","1.0"
"innan","81.0"
"(förste","3.0"
"visst","27.0"
"extratjänster","5.0"
"sugna","1.0"
"försökte","15.0"
"fskatt","1.0"
"klassen","1.0"
"häpnadsväckande","7.0"
"hälsoeffekter","1.0"
"förmoda","1.0"
"privata","53.0"
"klasser","2.0"
"omhändertagna","1.0"
"större","137.0"
"centrum","9.0"
"konsumentled","1.0"
"familjen","5.0"
"jämlikhet","1.0"
"investerare","6.0"
"praktiskt?","1.0"
"dalälven","7.0"
"optimala","3.0"
"stöttade","1.0"
"hand?","1.0"
"tagna","2.0"
"generell","4.0"
"fängelseplatser?","1.0"
"socialtjänsten","8.0"
"främmande","4.0"
"missnöje","1.0"
"missnöjd","2.0"
"störst","7.0"
"mittemellan","1.0"
"tågen","6.0"
"1990-talet","4.0"
"tvekan","9.0"
"praktikplatser","1.0"
"(1997:1137)","1.0"
"optimalt","3.0"
"laddning","1.0"
"bolagsverket","1.0"
"autonomi","1.0"
"rättvisande","1.0"
"tvungen","10.0"
"registrera","1.0"
"mediernas","1.0"
"beslutades","6.0"
"värdet","8.0"
"dykt","1.0"
"friare","2.0"
"7-elevens","1.0"
"organisationsförändring","1.0"
"kulturverksamhet","2.0"
"värden","5.0"
"bemötas","2.0"
"träter","1.0"
"testa","10.0"
"kärnkraftens","3.0"
"reproduktiv","1.0"
"kuvert","1.0"
"försvarsdepartementet","4.0"
"historiesbeskrivningsmässigt","1.0"
"nykterhetsrörelsen","5.0"
"löfven:","2.0"
"poolen","1.0"
"polisutredningar","3.0"
"bekostnad","1.0"
"flytta","34.0"
"sänkningen","9.0"
"föredragningar","1.0"
"medförde","1.0"
"älska","1.0"
"4,8","1.0"
"björcks","2.0"
"inblandade","2.0"
"energislag","1.0"
"tillväxthämmande","4.0"
"barndomshem","1.0"
"upprepas:","1.0"
"krigsmakt","1.0"
"lovades","1.0"
"tagit","72.0"
"passerade","1.0"
"utbildningsministern","14.0"
"välfärdsarbeten","1.0"
"vissa","81.0"
"buller","10.0"
"lastbilstillverkarna","1.0"
"4-9","1.0"
"värdig","2.0"
"progressivt","1.0"
"åtgärdar","1.0"
"flygningarna","1.0"
"linda","2.0"
"löfvens","1.0"
"horizon","1.0"
"linde","6.0"
"utbildnings-","1.0"
"åklagarsidan","1.0"
"åtgärdas","1.0"
"finansierade","6.0"
"ristats","1.0"
"tidning","1.0"
"sjukförsäkring","6.0"
"förskolor","2.0"
"förseningar","4.0"
"tankeexempel","1.0"
"johnsson","2.0"
"skeptiskt","1.0"
"storstaden","1.0"
"skl:s","1.0"
"trafiken","24.0"
"tvingats","1.0"
"iphones","1.0"
"budskapet:","1.0"
"upplevelser","1.0"
"vänsterpolitik","1.0"
"programmen","6.0"
"19-åriga","1.0"
"ling;","1.0"
"programmet","2.0"
"vårdbehövande","1.0"
"delgivning","1.0"
"sexualbrott","3.0"
"skeptiska","5.0"
"värdering","2.0"
"400","6.0"
"gjörtler","6.0"
"konkurrensmöjligheter","1.0"
"drabbats","5.0"
"tjänstemannagrupper","1.0"
"graven","1.0"
"omdefiniera","1.0"
"klimatutsläppen","2.0"
"byggdes","2.0"
"säger?","1.0"
"tillåtna","2.0"
"säger:","19.0"
"beräkningar","19.0"
"lägenheten","3.0"
"löpande","6.0"
"miljöskatt","1.0"
"arbetslöshetsersättningen","1.0"
"lägenheter","11.0"
"handfast","1.0"
"skotträdda","1.0"
"konstruktioner","2.0"
"instabil","1.0"
"spiller","1.0"
"utväg","1.0"
"gatan","2.0"
"tänder","1.0"
"sverigepaketet","1.0"
"idioti","1.0"
"exponeringsförbud","2.0"
"sysselsättningsgraden","15.0"
"särintressen","1.0"
"bekanta","1.0"
"jättebekymmer","1.0"
"10 procent","1.0"
"miljonprogrammets","1.0"
"leverera","19.0"
"orterna","2.0"
"skabbangripen","1.0"
"uteslutande","5.0"
"andrahandshyror","1.0"
"könet","1.0"
"tvungna","8.0"
"innovationsministern","4.0"
"pekat","9.0"
"sedermera","2.0"
"pekas","1.0"
"nilsson","2.0"
"avgörs","1.0"
"leverantörer","1.0"
"jenny","1.0"
"förödande","5.0"
"pekar","29.0"
"diskrepansen","1.0"
"avgöra","7.0"
"stående","1.0"
"motorvägar","1.0"
"one-liners","1.0"
"hyrorna","2.0"
"dyra","4.0"
"linje","29.0"
"sidor","9.0"
"vedertagna","1.0"
"tisdagen","1.0"
"dyrt","12.0"
"uppgifterna","4.0"
"supermiljöbilspremien","6.0"
"rättsstaten","2.0"
"klädesplagg","1.0"
"ridvägar","1.0"
"aktiv","18.0"
"miljöutveckling","1.0"
"prisökningar","1.0"
"supermiljöbilspremier","1.0"
"beräkningen","1.0"
"föreliggande","1.0"
"tco:s","1.0"
"försvarsministerns","7.0"
"uteblev","1.0"
"utgiftssidan","4.0"
"förakta","1.0"
"450","1.0"
"räckte","1.0"
"inverkan","5.0"
"vodka","1.0"
"jämfördes","1.0"
"korrekta","2.0"
"förbundit","1.0"
"bostadsmarknaden","7.0"
"israel?","1.0"
"dubblerade","1.0"
"kringutrustning","1.0"
"substanserna","1.0"
"transport","1.0"
"strategi","16.0"
"synagoga","1.0"
"4 400","1.0"
"vårdbehovet","1.0"
"kollar","1.0"
"kollat","1.0"
"juristkompetensen","1.0"
"respekterades","1.0"
"kompakt","1.0"
"egendomsutredningen","1.0"
"pendlingstrafiken","2.0"
"ägardirektiven","1.0"
"lämpat","1.0"
"uppehåll","2.0"
"friskvårdsbidrag","1.0"
"friskvården","1.0"
"jobbskatteavdraget","32.0"
"kvarstår","14.0"
"högproduktiv","1.0"
"jobbskatteavdragen","5.0"
"hyllorna","1.0"
"utbildningar","23.0"
"röd","2.0"
"grundtrygghetsförsäkring","2.0"
"vartannat","1.0"
"understöder","1.0"
"järnvägsunderhåll","1.0"
"rör","24.0"
"överrepresenterade","1.0"
"motorvägen","1.0"
"miljöpolitiken","3.0"
"exportstödet","5.0"
"friluftsliv?","2.0"
"presterar","3.0"
"koder","1.0"
"konjunkturpolitik","1.0"
"matematikern","1.0"
"pluspunkterna","1.0"
"gunst","1.0"
"förskolan","5.0"
"spridd","1.0"
"sprida","8.0"
"tillåter","7.0"
"tillåtet","7.0"
"flygplan","10.0"
"tillåten","2.0"
"vapenfrågorna","1.0"
"tydligast","2.0"
"tjänade","3.0"
"skärpa","10.0"
"omsorgen","12.0"
"skärpt","1.0"
"frakta","1.0"
"skärps","1.0"
"betala","44.0"
"utbildningen","14.0"
"förpliktande","2.0"
"händer","42.0"
"västerbottningarna","1.0"
"chockhöjda","1.0"
"kontakter","8.0"
"hemvärnsorganisation","1.0"
"betald","2.0"
"regeringsansvaret","1.0"
"tydligare","19.0"
"kontakten","2.0"
"turkiet","2.0"
"vinstsyfte","2.0"
"inväntar","4.0"
"oförskämt","1.0"
"tuffare","7.0"
"igen","51.0"
"sänkningen?","1.0"
"betalt","4.0"
"skatteplanering","1.0"
"systembolagets","8.0"
"nitisk","1.0"
"ränteavdragen?","1.0"
"balans","16.0"
"dunkel","1.0"
"överdrift","1.0"
"hävdade","1.0"
"sprids","2.0"
"viset","2.0"
"undervisningsmetoderna","1.0"
"administration","3.0"
"mp-märkta","1.0"
"fackets","2.0"
"sverige</em>","2.0"
"härskartekniker","1.0"
"upprepade","10.0"
"rot-avdrag","1.0"
"störda","1.0"
"accepterades","1.0"
"fristående","8.0"
"brottsbekämpande","4.0"
"meritpoäng","1.0"
"allmännyttan","1.0"
"kommersialisering","1.0"
"länsstyrelsen","18.0"
"limpa","1.0"
"påtalats","1.0"
"samtal","28.0"
"miljömässig","1.0"
"björklund","2.0"
"stigande","1.0"
"nuder","2.0"
"tydliggöranden","1.0"
"stabilitet","6.0"
"längsta","1.0"
"legala","1.0"
"täcka","7.0"
"import","3.0"
"presentera","15.0"
"reagerat","1.0"
"visby","4.0"
"reagerar","1.0"
"pensionärsskattesänkningar","2.0"
"sportlovsvecka","1.0"
"ohälsoproblem","1.0"
"central","13.0"
"intervjun","1.0"
"säkrar","4.0"
"tesen","3.0"
"näringars","1.0"
"backyard","2.0"
"friskolekommitténs","2.0"
"natursköna","1.0"
"kulturupplevelsen","1.0"
"äpplen","3.0"
"bara:","3.0"
"förarutbildningen","2.0"
"kulturupplevelser","1.0"
"visar","120.0"
"länsstyrelser","10.0"
"trycket","3.0"
"visas","1.0"
"green","36.0"
"visat","29.0"
"trycker","4.0"
"misskötta","1.0"
"oerfarna","1.0"
"omställningstakt","1.0"
"sjönära","8.0"
"avvägningen","3.0"
"försöken","1.0"
"stressklinik","1.0"
"försöker","68.0"
"miliser","1.0"
"glesbygden","3.0"
"försöket","7.0"
"riskmoment","1.0"
"leveranserna","1.0"
"sexåringarna","8.0"
"citerade","3.0"
"limboläge","1.0"
"visning","1.0"
"delrapporterna","1.0"
"ungas","2.0"
"sidas","1.0"
"lättölen","1.0"
"toppkvalitet","1.0"
"vårdbiträde","1.0"
"bostäderna","1.0"
"förkorta","2.0"
"nationalpark","2.0"
"gruppklassificering","2.0"
"skolreformer","3.0"
"farmakologiskt","1.0"
"därför","420.0"
"samla","6.0"
"hemsjukvård","1.0"
"ifrån?","2.0"
"infekterad","2.0"
"främjar","3.0"
"främjas","1.0"
"optisk","1.0"
"sugen","1.0"
"bankkontot","1.0"
"planering","3.0"
"tiotal","1.0"
"lagliga","4.0"
"statsskulden","17.0"
"sänkningar","1.0"
"bekymmersamt","13.0"
"högkostnadsskyddet","1.0"
"samma","173.0"
"upprepar:","1.0"
"krigstid","1.0"
"amerikanerna","1.0"
"institutet","3.0"
"inrätta","5.0"
"e.kr.","1.0"
"böterna","1.0"
"instituten","7.0"
"föredragningen","2.0"
"konjunkturläge","1.0"
"klivit","1.0"
"försörjas","1.0"
"semmeltider:","1.0"
"gymnasieministern","1.0"
"kompetensbrist","2.0"
"fritidshuset","1.0"
"samsyn","22.0"
"mäktar","2.0"
"elevernas","4.0"
"statsskulder","1.0"
"brommaflyg","1.0"
"tagen","2.0"
"speciallärare","6.0"
"inkomstskattesystemet","2.0"
"energibranschen","1.0"
"inkorporerar","1.0"
"domstolsförfarande","1.0"
"taget","58.0"
"vindruvor","1.0"
"åtgärden","6.0"
"påtala","2.0"
"känslosamma","1.0"
"åtgärder","179.0"
"tillväxtstimulanser","1.0"
"gagn","2.0"
"ineffektiv","8.0"
"2010:98","1.0"
"750 000","3.0"
"läste","10.0"
"sluddrar","1.0"
"vanskligt","1.0"
"otaliga","3.0"
"alarmerande","1.0"
"inkomstskatt","6.0"
"räcker","31.0"
"skogspolitik","1.0"
"arrest","1.0"
"tesla","2.0"
"cirkulation","1.0"
"misstanke","4.0"
"österrike","4.0"
"budgetpost","1.0"
"rut-rapport","1.0"
"förfärande","1.0"
"råvaror","1.0"
"traineetjänst","1.0"
"inkomstutjämningen","2.0"
"försörjda","1.0"
"hanif","5.0"
"inträde","3.0"
"bakgrunds","1.0"
"klassas","1.0"
"länsas","1.0"
"inträda","1.0"
"swedavia","11.0"
"notera","10.0"
"bemanningsföretagen","10.0"
"krisutvecklingen","1.0"
"snacka","2.0"
"utsätts","4.0"
"så?","6.0"
"oaktsamhet","1.0"
"neddragning","4.0"
"skaver","1.0"
"säg","4.0"
"uppstår","10.0"
"forskningsresultat","1.0"
"sugar","1.0"
"försörjer","1.0"
"klivet","1.0"
"unga?","1.0"
"sida?","2.0"
"arbetsvillkor","1.0"
"knapp","2.0"
"handelskommissionär","1.0"
"exportvärde","1.0"
"tillåtas","1.0"
"bemanningen","4.0"
"konkurrensvillkor","2.0"
"inriktningsbeslut","1.0"
"kongressbeslut","2.0"
"såg","46.0"
"situationen","24.0"
"utsätta","1.0"
"situationer","12.0"
"betvivlar","6.0"
"räkorna","1.0"
"sår","1.0"
"ytterstad","1.0"
"gator","3.0"
"extrajobben","1.0"
"göteborg","47.0"
"underrättelseverksamheten","1.0"
"skador?","1.0"
"ämne","3.0"
"duckar","1.0"
"nnr:s","1.0"
"köer","1.0"
"rakt","21.0"
"bedömningen?","2.0"
"oerfaren","1.0"
"raka","2.0"
"lärdomar","1.0"
"administrativa","3.0"
"hästar","3.0"
"solidaritetsförklaringen","6.0"
"lunchställen","1.0"
"innehållsmässigt","1.0"
"sidan","65.0"
"kvinnoperspektiv","1.0"
"13 000","2.0"
"uppsnabbningen","1.0"
"holmlund","2.0"
"1 ½","2.0"
"fuska","1.0"
"handlingarna","3.0"
"växte","2.0"
"boriana","1.0"
"veterinärer","1.0"
"livsmedelsstrategin?","7.0"
"överflöde","1.0"
"drivhusets","5.0"
"transportled","1.0"
"återkoppling","3.0"
"oreflekterat","1.0"
"hamas","1.0"
"narkotikaklassificering","3.0"
"försäkringskassan","23.0"
"tålamod","1.0"
"otåliga","1.0"
"hållbart","2.0"
"ifrån","53.0"
"uppnått?","2.0"
"hovrätt","4.0"
"1998-2005","1.0"
"tillse","1.0"
"sjukvårdsministerns","1.0"
"rättegångsbalken","1.0"
"former","22.0"
"räddningsarbete","1.0"
"medborgarskap","2.0"
"storsatsade","1.0"
"parallellt","7.0"
"www.blåskatt.se","1.0"
"genomsnittliga","1.0"
"formen","1.0"
"hållbara","5.0"
"samarbetspartiet","1.0"
"ålderspresidenten","1.0"
"stoppet?","1.0"
"avgaser","3.0"
"skatteförslag","6.0"
"parallella","1.0"
"bensinskatt","1.0"
"platser","17.0"
"eventuell","7.0"
"kunskap?","1.0"
"prova","2.0"
"värderingsmässiga","1.0"
"territoriet?","2.0"
"adressera","3.0"
"götaland","3.0"
"bullerutsatta","1.0"
"järnvägstransporter","1.0"
"hemservice","4.0"
"hyser","1.0"
"platsen","5.0"
"bankkrisen","1.0"
"parlamentariker","1.0"
"kuriosa","1.0"
"samarbetsregeringsklimat","1.0"
"möller","2.0"
"naivt","2.0"
"uppbyggnaden","1.0"
"branschvis","1.0"
"kaffepengar","1.0"
"fortsättning","2.0"
"kilometer","10.0"
"begripligt","1.0"
"naiva","1.0"
"bedrev","1.0"
"tågverksamhet","1.0"
"budgetera","1.0"
"idrottsanläggningar","1.0"
"5,8","1.0"
"inbilla","1.0"
"ansvarsområden","2.0"
"tillförlitligt","1.0"
"oegentligheter","1.0"
"drogtestas","1.0"
"folkrepubliken","1.0"
"bedömningsstöd","1.0"
"skyddsvallar","4.0"
"ungefär","121.0"
"nordiskt","4.0"
"förutsättning","13.0"
"tillförlitliga","2.0"
"interpellationsdebatten;","1.0"
"interpellationsdebatten:","1.0"
"skolsatsningar","4.0"
"5-8","1.0"
"årsanställda","1.0"
"plats?","2.0"
"tryckte","1.0"
"systemförändringarna","1.0"
"påtalade","4.0"
"nr 50","1.0"
"tvivel","4.0"
"skattepolitik","3.0"
"bjärnum","1.0"
"läsas","1.0"
"svunnen","2.0"
"svika","2.0"
"skatteplanera","1.0"
"växjö","8.0"
"förespråkarna","1.0"
"ödesfråga","2.0"
"förbrukad","1.0"
"politikerna","5.0"
"kommunsektorn","2.0"
"flykt","1.0"
"alliansstyre","1.0"
"läkaren","3.0"
"skild","2.0"
"påvisas","1.0"
"påvisar","1.0"
"hemställa","1.0"
"domen","4.0"
"budgeten:","1.0"
"vistas","2.0"
"hetare","1.0"
"metroförbindelse","1.0"
"nordiska","12.0"
"kemiindustrin","1.0"
"gatt","2.0"
"finanssektorn","1.0"
"gav:","1.0"
"läsa:","3.0"
"rasistiska","1.0"
"rask","1.0"
"förtal","1.0"
"500","4.0"
"positionsförflyttningar","4.0"
"gata","1.0"
"friluftslivsfrågorna","1.0"
"limbo","1.0"
"undrade","3.0"
"drogtester","4.0"
"bidragsutbyggnader","1.0"
"bedrivs","12.0"
"ministrar","13.0"
"försämras?","1.0"
"mobilen","1.0"
"målkonflikter","1.0"
"avståndsskatt","2.0"
"återges","1.0"
"bedriva","26.0"
"häromveckan","4.0"
"förhindra","4.0"
"rigitt","1.0"
"köps","1.0"
"köpt","4.0"
"manipulation","2.0"
"bidragsutbyggnaden","1.0"
"konspiratoriskt","1.0"
"ungdomarna","5.0"
"logiska","1.0"
"utverka","1.0"
"häktningstiderna","2.0"
"gavs","3.0"
"köpa","32.0"
"utrett","5.0"
"skattesänkningarna","7.0"
"logiskt","3.0"
"skyddsjakt","5.0"
"läser","23.0"
"slutpunkt","1.0"
"samhällsproblem?","1.0"
"wto","2.0"
"inträffar","3.0"
"bryssel","4.0"
"insmuget","1.0"
"arbetets","1.0"
"inledas","1.0"
"gavi","2.0"
"fällas","2.0"
"farligare","1.0"
"inträffat","1.0"
"tillgå","4.0"
"marginalen","2.0"
"likadan","4.0"
"regeringschefen","2.0"
"fackens","1.0"
"tillvaratar","1.0"
"trygg","9.0"
"marginaler","8.0"
"regeringschefer","2.0"
"undrar:","6.0"
"4 procent","1.0"
"domar","3.0"
"tendens","2.0"
"tillit","1.0"
"effektiva","18.0"
"inflation","2.0"
"schackra","1.0"
"köhler","1.0"
"flygs","1.0"
"gödsla","1.0"
"endast","22.0"
"dubbelt","11.0"
"kompenserade","4.0"
"körs","4.0"
"effektivt","22.0"
"kört","2.0"
"dna-spår","1.0"
"ambitionerna","4.0"
"frukostseminariet","1.0"
