"party","FP"
"fördjupas","1.0"
"ledde","1.0"
"variera","1.0"
"90-talet","2.0"
"tids","1.0"
"året","14.0"
"ställningstaganden","2.0"
"2009/10","2.0"
"årsredovisning","3.0"
"åren","18.0"
"sharialagar","2.0"
"pratade","7.0"
"art-","1.0"
"täckning","3.0"
"verksamheten","20.0"
"allvarlig","4.0"
"framskjuten","1.0"
"verksamheter","8.0"
"begångna","1.0"
"förutsättningen","1.0"
"bröstet","1.0"
"armé","1.0"
"polisutbildningen","2.0"
"kommuner","67.0"
"ställningstagande?","1.0"
"droganvändning","1.0"
"</em>tillsätta","1.0"
"tillbaka?","1.0"
"vunnit","4.0"
"projektet","4.0"
"kommunen","3.0"
"eu-frågor","1.0"
"kong","3.0"
"rådet","2.0"
"input","1.0"
"vuxit","1.0"
"rederierna","1.0"
"svenskar","2.0"
"ibland","26.0"
"början:","1.0"
"lars","1.0"
"pansarglas","3.0"
"offentliganställda","1.0"
"mötena","1.0"
"anläggning","1.0"
"färdiga","1.0"
"konsekvenser","6.0"
"kvinnojourer","4.0"
"latinamerikanska","1.0"
"ha:","1.0"
"europas","1.0"
"färdigt","6.0"
"företagsledare","1.0"
"tragedi","1.0"
"fullmäktige","5.0"
"ha?","1.0"
"insamling","1.0"
"miljarder","10.0"
"försiktighetsprincip","1.0"
"sekretessregler","1.0"
"spanar","1.0"
"religion","1.0"
"lärarkåren","1.0"
"näringsgivande","1.0"
"misstänkliggörs","1.0"
"anställningar","1.0"
"skakar","1.0"
"treårsperiod","1.0"
"till","752.0"
"knappt","2.0"
"förutsättningar","13.0"
"stad-land","1.0"
"straffbart","2.0"
"incidenter","1.0"
"industrin","3.0"
"kort","11.0"
"han","90.0"
"mekanism","2.0"
"pensioner","8.0"
"europa?","1.0"
"har","1063.0"
"pensionen","4.0"
"vore","32.0"
"bidrog","1.0"
"hälsa","4.0"
"arresterats","2.0"
"upprätthåller","2.0"
"förslavats","1.0"
"prövas","2.0"
"prövat","2.0"
"bostadsrätt","1.0"
"intressanta","4.0"
"menat","1.0"
"menas","1.0"
"menar","26.0"
"24 000","1.0"
"överbefälhavaren","2.0"
"stadsdelsnivå","1.0"
"folkmord","15.0"
"enas","4.0"
"plågar","1.0"
"sfi?","1.0"
"socialdemokraternas","4.0"
"praktik?","1.0"
"chans","3.0"
"<em>kallas</em>","1.0"
"medvetna","1.0"
"17-18-årsåldern","1.0"
"ende","1.0"
"enda","18.0"
"kommit","17.0"
"alstras","1.0"
"förhandlingar;","1.0"
"råder","10.0"
"marginalskatt","2.0"
"trakasserierna","1.0"
"flickor","1.0"
"fackföreningar","7.0"
"west:","1.0"
"ting","3.0"
"sanktionsåtgärder","1.0"
"seklet","1.0"
"förutom","3.0"
"1 750","1.0"
"resonabel","1.0"
"west)","2.0"
"söktryck","1.0"
"bygderna","1.0"
"avslutningsvis:","1.0"
"kost","1.0"
"vinster","1.0"
"väpnade","2.0"
"heltidsstuderande","1.0"
"trampa","1.0"
"granskning","3.0"
"yrkets","1.0"
"korridorer","1.0"
"1 procent","1.0"
"förhandlingar","5.0"
"exklusivt","1.0"
"hel","18.0"
"spridda","1.0"
"hen","1.0"
"hem","3.0"
"prata","3.0"
"giftorättsprincipen","2.0"
"inspel","1.0"
"sälen","1.0"
"exklusiva","2.0"
"svårare","3.0"
"skott?","1.0"
"kpist","1.0"
"lagtext.se","1.0"
"slopa","1.0"
"möten","4.0"
"pedagogiken","1.0"
"frågorna","24.0"
"mötes","1.0"
"möter","4.0"
"svårast","1.0"
"omprövning","2.0"
"mötet","1.0"
"slope","1.0"
"30 procent","1.0"
"regeringen:","1.0"
"bidrar","6.0"
"regeringen?","1.0"
"onsdag","1.0"
"sprider","1.0"
"94 000","1.0"
"angrep","1.0"
"uttalande","7.0"
"parterna","6.0"
"smart","1.0"
"stordåd","1.0"
"samarbeta","1.0"
"ogillar","6.0"
"utveckling","12.0"
"samarbete","8.0"
"stänger","3.0"
"rabatterna","1.0"
"då:","2.0"
"kretsat","1.0"
"nyckeln","1.0"
"då?","3.0"
"kräver","5.0"
"genomsnittlig","2.0"
"poliser","3.0"
"kunskapsinsatser","1.0"
"polisen","7.0"
"något?","1.0"
"regeringens","25.0"
"bredare","4.0"
"upprörda","1.0"
"skakade","1.0"
"skollag","1.0"
"föreläsning","1.0"
"godkänna","1.0"
"där","190.0"
"bakhuvudet","1.0"
"kommun","13.0"
"kvalitetshöjande","1.0"
"arbetsförmedling","4.0"
"yrkes-","1.0"
"ministerns","3.0"
"dåd","2.0"
"titt","1.0"
"östra","2.0"
"certifierar","1.0"
"tvekade","1.0"
"armenierna","1.0"
"förtidspensionerades","3.0"
"kurdiska","3.0"
"kvadratmeter","3.0"
"3 ½","1.0"
"skjuter","2.0"
"hit","3.0"
"tillstånd","1.0"
"därute","1.0"
"praktisk","1.0"
"umgängeskretsar","1.0"
"bullerdebatten","1.0"
"feministisk","2.0"
"giftorättssystem","1.0"
"gjordes","6.0"
"dagis","1.0"
"laddade","1.0"
"framtagen","2.0"
"fjärde","3.0"
"sakärendet","1.0"
"medfinansiering","3.0"
"kommunal","6.0"
"enig","2.0"
"resistens","1.0"
"okej","5.0"
"bedömare","3.0"
"kärnvapenparaply","1.0"
"antisemitism","4.0"
"vuxna","1.0"
"flyktingkatastrofen","1.0"
"bolag","1.0"
"desto","6.0"
"männen","2.0"
"med?","5.0"
"kampen","2.0"
"hyresutvecklingen","1.0"
"allmänheten","1.0"
"blivande","1.0"
"sänder","3.0"
"medveten","7.0"
"tidigt","8.0"
"länder","44.0"
"eventuellt","4.0"
"antydningar","2.0"
"motverkar","1.0"
"dimension","1.0"
"med:","1.0"
"bemötande","2.0"
"neddragningar","1.0"
"engångshändelse","1.0"
"vanmaktssituation","2.0"
"kalmar","1.0"
"rutinmässiga","1.0"
"alternativa","1.0"
"känsligt","1.0"
"kapitel","1.0"
"strukturfonder","1.0"
"pannan","1.0"
"moskva","2.0"
"formulerades","1.0"
"alternativt","1.0"
"valfrihetsreformerna","1.0"
"tidiga","4.0"
"resurser","9.0"
"7,5","1.0"
"framföras?","1.0"
"kabinettssekreteraren","4.0"
"frånskilda","3.0"
"yttrandefriheten","1.0"
"romer","1.0"
"tillfällena","1.0"
"språkutbildning","1.0"
"närmaste","1.0"
"stimulans","1.0"
"framkallats","1.0"
"lättare","7.0"
"råvara","2.0"
"noterar","16.0"
"domarnas","1.0"
"skicka","9.0"
"noterat","2.0"
"delförklaring","1.0"
"otrolig","1.0"
"riksdagsåret","1.0"
"gängse","1.0"
"allvarliga","3.0"
"annonsering","1.0"
"förlängningen","3.0"
"inkomstrisken","1.0"
"abas","1.0"
"agila","9.0"
"lackat","1.0"
"säpouppbackning","1.0"
"organ","1.0"
"annan","37.0"
"gentekniknämndens","1.0"
"hon","54.0"
"krångliga","1.0"
"invånare","4.0"
"resultaten","1.0"
"läkarprogrammet","1.0"
"agilt","5.0"
"hot","10.0"
"avtalsrörelsen","1.0"
"hos","23.0"
"olyckligt","4.0"
"resultatet","4.0"
"betydande","4.0"
"peshmergastyrkorna","1.0"
"tidningen","1.0"
"skräckpropaganda?","1.0"
"följdeffekterna","1.0"
"effektivitet","2.0"
"genomgripande","4.0"
"annat","85.0"
"föreställde","1.0"
"också","261.0"
"flyttade","1.0"
"flyktinglägren","1.0"
"kallade","13.0"
"marginalskatterna","3.0"
"världens","9.0"
"siffra","1.0"
"expertis","1.0"
"700","1.0"
"tryggheten","3.0"
"lärarbrist","1.0"
"emotionella","1.0"
"konstnär","1.0"
"bergslagen","1.0"
"snittet","1.0"
"ultraortodoxa","1.0"
"borgerliga","3.0"
"återreglering","1.0"
"dubbla","2.0"
"västkusten","2.0"
"oljekällor","1.0"
"ägarmarknaden","1.0"
"frustrerade","1.0"
"granskningen","1.0"
"innebar","10.0"
"jordbruksmarknader","1.0"
"demokratirörelsen","5.0"
"kvalificerad","2.0"
"angrepp","3.0"
"verksamhetsutövaren","1.0"
"killar","1.0"
"tusen","4.0"
"befolkade","1.0"
"övertygelse","1.0"
"yta","1.0"
"zoner","1.0"
"bostadskrisen","1.0"
"fördrag","1.0"
"renoveringar","1.0"
"vision","6.0"
"akuta","3.0"
"verksamhetens","1.0"
"rosencrantz","1.0"
"besökte","2.0"
"förvisso","2.0"
"petersson","4.0"
"livskraftigt","1.0"
"tidningar","2.0"
"fördelade","1.0"
"nypa","1.0"
"begå","2.0"
"skickas","4.0"
"utbildningsbakgrund","1.0"
"skickar","9.0"
"parentes","1.0"
"skickat","2.0"
"romsons","1.0"
"bland","46.0"
"maria","4.0"
"intäkterna","1.0"
"förövaren","2.0"
"medlemmarna","1.0"
"löneökning","1.0"
"ungdomsarbetslöshetsstatistiken","1.0"
"yazidierna","1.0"
"handelsflotta","1.0"
"valfrihetssystemet","1.0"
"känslan","1.0"
"rikta","2.0"
"demokratisering","2.0"
"aktuell","3.0"
"livlina","1.0"
"trodde","6.0"
"ökande","1.0"
"diplomat","1.0"
"justeringar","1.0"
"primärt","1.0"
"president","5.0"
"reformarbetet","1.0"
"hur","214.0"
"gentemot","4.0"
"hus","2.0"
"interpellationsdebatter","2.0"
"raden","1.0"
"kommunaliseringen","1.0"
"opponera","1.0"
"interpellationsdebatten","5.0"
"skicka?","1.0"
"strikt","1.0"
"stridsfrågan","1.0"
"uppmanat","2.0"
"uppmanar","2.0"
"action","1.0"
"immuna","1.0"
"krafttagen","1.0"
"hoc-beslut","1.0"
"yxa","1.0"
"påtryckning","1.0"
"riktvärdena","1.0"
"vågskålar","1.0"
"vänsterpartiet","6.0"
"envetet","1.0"
"slutför","2.0"
"speglar","1.0"
"uppenbarligen","3.0"
"gärna","40.0"
"barn-","1.0"
"viktiga","54.0"
"fullödig","1.0"
"befintlig","2.0"
"flesta","9.0"
"läkemedel","1.0"
"skillnaden","3.0"
"osäkerheten","4.0"
"skillnader","2.0"
"nyss","3.0"
"följd","4.0"
"viktigt","115.0"
"följa","32.0"
"lagra","1.0"
"dagarna","3.0"
"säkerhetsfrågor","1.0"
"följt","4.0"
"flagga","2.0"
"följs","3.0"
"tydlig:","1.0"
"besöker","7.0"
"problem:","1.0"
"folkpartiets","21.0"
"besöket","1.0"
"180 000","1.0"
"konstaterande","2.0"
"uppfinna","1.0"
"hyckleri","2.0"
"krona","1.0"
"värnar","3.0"
"städer","11.0"
"vetenskapen","5.0"
"tillväxtökningen","1.0"
"västerås","4.0"
"umeå","3.0"
"lagts","2.0"
"församlingsbyggnaden","1.0"
"död","1.0"
"rot-avdraget","1.0"
"dök","1.0"
"försöka","22.0"
"orsaker","1.0"
"axplock","1.0"
"tvångsbeslut","1.0"
"regelverket","9.0"
"idéer","3.0"
"hejda","1.0"
"bengtsson","1.0"
"utsträckning","1.0"
"hoppingivande","1.0"
"försökt","2.0"
"presskonferens","3.0"
"skolverket.se","1.0"
"professor","1.0"
"deras","21.0"
"samband","5.0"
"bostadssektorn","1.0"
"tävla","1.0"
"nytt","6.0"
"dubbel","1.0"
"regelverken","2.0"
"lättast","1.0"
"kraftsamla","1.0"
"begrava","1.0"
"monstruösa","1.0"
"sådana","11.0"
"fram","102.0"
"mest","15.0"
"biträdande","1.0"
"kvinnoförnedrande","1.0"
"sådant","25.0"
"handsken","1.0"
"bekräftelse","1.0"
"säkra","1.0"
"bete","1.0"
"slutbetyg","10.0"
"ögonen","1.0"
"finansieringen","3.0"
"genuint","1.0"
"personernas","1.0"
"yrkeslivet","1.0"
"vettig","2.0"
"överväldigande","1.0"
"föreföll","1.0"
"fundera","15.0"
"thorell","1.0"
"mera","1.0"
"rader","1.0"
"självständigt","1.0"
"begravd","1.0"
"uttala","1.0"
"miljöpartiets","7.0"
"liksom","11.0"
"kraftfull","1.0"
"bromsas","1.0"
"inlägg","9.0"
"otäck","1.0"
"gillande","2.0"
"krigsplacerade","1.0"
"tyskland","1.0"
"slutändan","6.0"
"inrättningar","1.0"
"armenier","1.0"
"</em>brottsligheten","1.0"
"regeringsförklaringen","3.0"
"bett","3.0"
"skruvat","1.0"
"basen","1.0"
"finansplan","1.0"
"runda","1.0"
"avvecklingsprojekt","1.0"
"ansett","1.0"
"trollhättan-vänersborg","1.0"
"landvinningar","1.0"
"krigsmateriel","4.0"
"mängd","5.0"
"aftonbladet","7.0"
"friskola","1.0"
"kompetenser","2.0"
"bullerreglerna?","1.0"
"missförstånd","2.0"
"sorgliga","2.0"
"utökad","2.0"
"trygghetsskapande","1.0"
"baser","1.0"
"sorgligt","2.0"
"fred","9.0"
"ändringar","1.0"
"brasilien","3.0"
"förvandlade","1.0"
"flaggar","5.0"
"årsredovisningen","1.0"
"egenskapen","1.0"
"drygt","5.0"
"ingått","1.0"
"dryga","2.0"
"slöts","1.0"
"rektorn","1.0"
"står","42.0"
"kompetensen","2.0"
"tidpunkt","1.0"
"fri-","1.0"
"uppfylla","6.0"
"stället?","1.0"
"regelbundet","4.0"
"utsträckt","1.0"
"acceptera","4.0"
"perfekt","2.0"
"tillsättandet","1.0"
"strandskyddsreglerna","1.0"
"försvarsplanering","3.0"
"varifrån","2.0"
"presentation","1.0"
"avskaffande","1.0"
"pensionsmyndigheten","1.0"
"tydliga","14.0"
"fortsätta","28.0"
"satsningarna","1.0"
"lagstifta","3.0"
"misstag","1.0"
"lokalsamhället","2.0"
"tydligt","32.0"
"problematiskt","1.0"
"sofia","1.0"
"fn-mandat","1.0"
"vargpolitik","1.0"
"kritisk","2.0"
"siffran","3.0"
"fungerade","3.0"
"kärnvapenretoriken","3.0"
"lätta","1.0"
"uppfylls","1.0"
"riket","3.0"
"uppfyllt","2.0"
"reaktionen","4.0"
"regeringskansliets","2.0"
"palestina","29.0"
"övervägandena","2.0"
"hyresgästerna","2.0"
"80-talet","1.0"
"åtminstone","14.0"
"missbrukarvård","1.0"
"påbörjades","2.0"
"ligger","33.0"
"avvek","1.0"
"händelser","2.0"
"tröskeln","1.0"
"ställning","6.0"
"fria","3.0"
"kränkningar","1.0"
"kostsam","1.0"
"elproduktion","1.0"
"konstighet","1.0"
"tråkigt","2.0"
"respekterade","1.0"
"däribland","3.0"
"80-90 procent","1.0"
"asyl","4.0"
"ukrainas","3.0"
"drivkraftiga","1.0"
"gjort","53.0"
"trafiklänken","1.0"
"siffra:","1.0"
"eftersom","57.0"
"väg","22.0"
"stannar","3.0"
"föranledd","1.0"
"aktörerna","4.0"
"återstår","2.0"
"växjös","1.0"
"promemorian","7.0"
"väl","56.0"
"vän","3.0"
"ordning","3.0"
"havanna","2.0"
"cyniskt","1.0"
"blåslampa","4.0"
"dokument","1.0"
"jämställdhetsintegrering","1.0"
"politik","24.0"
"vår","42.0"
"reflexioner","4.0"
"bostadsprojekt","1.0"
"eu-ministern","1.0"
"skapades","2.0"
"önskvärt","2.0"
"bullrigt","1.0"
"dåligt?","1.0"
"lämpligt","1.0"
"arbetslivet","4.0"
"idé","4.0"
"producerar","3.0"
"förmår","1.0"
"300 000","3.0"
"förmån","1.0"
"lägenheterna","2.0"
"landets","2.0"
"attraktiva","3.0"
"fruktansvärda","2.0"
"bolund","6.0"
"subventioner","2.0"
"skjutvapen","1.0"
"ingång","2.0"
"fall","50.0"
"förföljelse","2.0"
"säker","3.0"
"lagar","5.0"
"400 000","1.0"
"utsättas","4.0"
"tydlig","19.0"
"fattigt","1.0"
"huruvida","6.0"
"foten","1.0"
"utbudet","1.0"
"valideringar","1.0"
"oscarsson","1.0"
"samverkansavtal","1.0"
"medicinområdet","1.0"
"interreligiösa","1.0"
"runt","27.0"
"generalkonsulat","1.0"
"tillgången","2.0"
"verksamhetsutövarna","1.0"
"slåss","2.0"
"utbildningsenhet","1.0"
"emigrerat","1.0"
"kinakritiska","1.0"
"transportprogrammet","1.0"
"byggstoppet","1.0"
"bromsen","1.0"
"europeiska","20.0"
"figurerat","1.0"
"lagen","2.0"
"lagstiftning","22.0"
"stoppa","23.0"
"fotbojan","3.0"
"strunta","2.0"
"konstant","1.0"
"annanstans","1.0"
"skärpning","1.0"
"regeringsformen","1.0"
"in?","1.0"
"allvarligt","5.0"
"försvarsmakten","3.0"
"kugge","1.0"
"8,6","1.0"
"studiedisciplin","1.0"
"beståndet","1.0"
"ickedemokratiska","1.0"
"eu-linje","1.0"
"lurar","1.0"
"lurat","1.0"
"önskvärd","1.0"
"kallad","3.0"
"arbetslösa","4.0"
"decentralisering","1.0"
"benen","1.0"
"figurerar","1.0"
"liberalism","1.0"
"haddad","1.0"
"flygledningstjänsten","1.0"
"dubbelmoral","2.0"
"huvudet","3.0"
"fackförbundet","1.0"
"allmänbildande","1.0"
"krafterna","7.0"
"avgöras","1.0"
"läsare","1.0"
"västländer","1.0"
"saudiarabiens","1.0"
"befolkningens","1.0"
"avslöjande","1.0"
"fronter","1.0"
"lägen","2.0"
"hugger","1.0"
"argumentera","3.0"
"läget","7.0"
"hugget","1.0"
"fronten","2.0"
"utnämnd","1.0"
"resolution","1.0"
"allmänna","4.0"
"kungafamilj","1.0"
"fart","3.0"
"meningar","1.0"
"rörligheten","1.0"
"sämsta","1.0"
"justitieministerns","1.0"
"lärarlegitimationskravet","2.0"
"utreder","1.0"
"vapen","5.0"
"olle","1.0"
"passa","2.0"
"civilsamhälle","1.0"
"spännande","3.0"
"nordkoreas","1.0"
"förfärligt","3.0"
"assyriska","1.0"
"airport","1.0"
"kraft","9.0"
"topol-m-robotar","1.0"
"promemorior","1.0"
"800","1.0"
"kommunplacerade","1.0"
"människors","6.0"
"nyckelfaktorerna","1.0"
"klargör","1.0"
"underifrån","3.0"
"tillfångatagits","2.0"
"socialstyrelsen","4.0"
"läktaren","2.0"
"miljöministern","6.0"
"irreguljära","1.0"
"landstingssatsning","1.0"
"svenskundervisningen","1.0"
"flyktingar","5.0"
"lärarlönesatsningen","2.0"
"årskurser","1.0"
"massor","1.0"
"verkligheten","9.0"
"utmärkelsen","1.0"
"feltänkt","1.0"
"pedagoger","3.0"
"husfasader","1.0"
"moskéer","1.0"
"träsk","1.0"
"inkluderas","1.0"
"inkluderar","1.0"
"utrikesministern","89.0"
"fast","22.0"
"hemsida","2.0"
"invasion","1.0"
"mandat","3.0"
"eniga","4.0"
"stöd","33.0"
"icke-demokratisk","1.0"
"myntet","1.0"
"insamlingen","1.0"
"bekymrad","1.0"
"löfven","5.0"
"spelreglerna","1.0"
"meningen","3.0"
"förändringarna","2.0"
"understryka","5.0"
"banksektor","1.0"
"livsmedelsproduktionen","2.0"
"avseendet","1.0"
"vinna-vinna-relation?","1.0"
"boendekostnaden","1.0"
"itu","1.0"
"undertecknat","3.0"
"arbetslösheten","5.0"
"skriftlig","2.0"
"stadig","1.0"
"tveksamma","1.0"
"sakfrågan","6.0"
"rädsla","2.0"
"storslagna","1.0"
"drabba","1.0"
"konsekvensbeskrivningen","1.0"
"einstein","1.0"
"prognoserna","1.0"
"berott","1.0"
"läggs","5.0"
"träna","1.0"
"månaders","3.0"
"hyreslägenheter","2.0"
"flygbränsle","1.0"
"påverka","10.0"
"bristen","7.0"
"stärka","11.0"
"företag","23.0"
"peaceful","1.0"
"brister","2.0"
"medborgarna","6.0"
"aktör","1.0"
"stärkt","2.0"
"lägga","46.0"
"forssmed","3.0"
"styre","1.0"
"utredas","4.0"
"cigarr","1.0"
"fatahs","1.0"
"människor?","1.0"
"kämpa","1.0"
"arbetsro","1.0"
"försiktigt","1.0"
"styra","11.0"
"besatt","1.0"
"styrt","3.0"
"intressenter","2.0"
"resor","2.0"
"samtliga","3.0"
"reglerar","1.0"
"eu-frågorna","1.0"
"punkten","5.0"
"sanningsvittne?","1.0"
"punkter","2.0"
"belöna","1.0"
"individualisering","1.0"
"själva;","1.0"
"överleva","1.0"
"rekryteringsbolag","1.0"
"unga","10.0"
"krans","1.0"
"konkurrenskraft","5.0"
"avsätta","2.0"
"stunden","1.0"
"utredarens","1.0"
"budgetförslaget","1.0"
"handla","6.0"
"överflödiga","1.0"
"utredningsperson","1.0"
"procents","1.0"
"bostadsrätter","1.0"
"fundamentala","1.0"
"brottet","1.0"
"bildade","1.0"
"brotten","2.0"
"hängande","2.0"
"rejält","1.0"
"reformeringen","1.0"
"rädda","2.0"
"fundamentalt","1.0"
"city","1.0"
"prövningskostnaden","1.0"
"hyressättning","1.0"
"upphör","1.0"
"väldiga","1.0"
"hemma","4.0"
"skyddande","1.0"
"högskolerådet","2.0"
"restriktiv","4.0"
"2000-talet","5.0"
"branschinflytandet","1.0"
"väldigt","128.0"
"haram","2.0"
"satsningar","2.0"
"folkpartistisk","1.0"
"stilla","1.0"
"betonar","1.0"
"bostadsprojekten","1.0"
"hanterade","1.0"
"åter","3.0"
"släckte","1.0"
"bekymrar","3.0"
"realitet","1.0"
"tyngre","1.0"
"tillsättas","1.0"
"investeringsstöd","7.0"
"slutsats","8.0"
"akademisk","4.0"
"jönköping","5.0"
"justitie-","2.0"
"sfi-lärares","1.0"
"ofullständig","1.0"
"märks","1.0"
"socialdemokratiskt","3.0"
"bild:","1.0"
"dödade","1.0"
"akademiska","1.0"
"skolform","5.0"
"flygstöd","1.0"
"såklart","3.0"
"galenskap","1.0"
"socialdemokratiska","14.0"
"160 000","2.0"
"motsättning","6.0"
"bordet","2.0"
"transnationell","1.0"
"fidel","1.0"
"professionaliteten","1.0"
"våldsutsatta","1.0"
"vardagsliv","1.0"
"cykling","1.0"
"provocerande","1.0"
"funderade","1.0"
"lägre","6.0"
"privatliv","1.0"
"reda","3.0"
"krav;","1.0"
"moderniserar","1.0"
"handlägger","1.0"
"berlinmuren","1.0"
"allihop","3.0"
"redo","2.0"
"halvering","1.0"
"årsredovisningar","1.0"
"behandlade","1.0"
"högsta","15.0"
"bilda","1.0"
"självt","5.0"
"befrias","3.0"
"välbetalda","1.0"
"vattenkraftverk","1.0"
"intryck","2.0"
"anvisar","1.0"
"assyrier","8.0"
"investeringarna","1.0"
"propositioner","7.0"
"alternativ","4.0"
"prioritera","2.0"
"paranoida","1.0"
"själva","22.0"
"väljarna","2.0"
"bilen","2.0"
"otydligt","5.0"
"krav?","1.0"
"förändringens","1.0"
"entusiasm","1.0"
"norröver","1.0"
"sjukvårdssektor","1.0"
"propositionsstopp","2.0"
"mindre","34.0"
"bekymret","1.0"
"övar","7.0"
"sköta","3.0"
"beslutet","20.0"
"förmögenhetsmassan","1.0"
"utvecklas","7.0"
"kväll","3.0"
"stadigvarande","1.0"
"arbetsmarknadspolitik","5.0"
"hyresstatistik","3.0"
"parentesen?","1.0"
"fortsatta","1.0"
"besluten","5.0"
"utvecklar","1.0"
"enskilde:","1.0"
"förföljs","3.0"
"anledningen","8.0"
"klädsamt","2.0"
"jag","1014.0"
"egentligen","42.0"
"försvarsministern","27.0"
"sköts","2.0"
"initiativet","6.0"
"propositionen","4.0"
"shia","2.0"
"nivå","20.0"
"fängslar","2.0"
"cnc-operatörerna","1.0"
"efsas","1.0"
"svåra","6.0"
"investeringsstödet","4.0"
"frågat","3.0"
"frågar","5.0"
"riskabelt","1.0"
"miljönytta","1.0"
"könberg","2.0"
"frågan","159.0"
"finanspolitiska","1.0"
"upprustning","1.0"
"armkrok","2.0"
"matematiken","1.0"
"svårt","21.0"
"växtförädling","7.0"
"avstått","1.0"
"gustav","18.0"
"väljs","1.0"
"kvalitetsbrister","1.0"
"skolverket","5.0"
"yrkesutbildning","2.0"
"utvecklad","1.0"
"åtnjutit","2.0"
"närliggande","1.0"
"alternativet","2.0"
"användning","4.0"
"pudelns","1.0"
"borrade","1.0"
"kulturinstitutioner?","2.0"
"strejk","1.0"
"ringa","2.0"
"sända","1.0"
"ottawakonventionen","1.0"
"uppmana","1.0"
"statsminister","2.0"
"ikraftträdandet","1.0"
"rekrytera","2.0"
"släppa","1.0"
"vidtagits","1.0"
"it-plattform","1.0"
"nytt?","1.0"
"handel","2.0"
"matleverans","1.0"
"utbildningsdepartementet","1.0"
"handen","3.0"
"välja","6.0"
"signalsystemet","1.0"
"regi","1.0"
"förslag","49.0"
"anförande","6.0"
"fängslad","1.0"
"och/eller","1.0"
"ovanifrån","1.0"
"dagbladet","1.0"
"släppt","1.0"
"tystnadsplikt","1.0"
"senare","11.0"
"samhällsinformation","1.0"
"exemplifiera","1.0"
"igång","7.0"
"skolresultaten","1.0"
"dilemma","2.0"
"skärpte","1.0"
"försvinner","5.0"
"verklighetsbeskrivning","1.0"
"tidigare:","1.0"
"bostadsmarknad","1.0"
"huvudmannaskap","2.0"
"oacceptabelt","1.0"
"reaktion","3.0"
"rikspolisstyrelsens","1.0"
"tidigare?","1.0"
"skåne","1.0"
"inställning","3.0"
"konkurrenssituationen","1.0"
"behandlingsprogram","1.0"
"ohälsan","1.0"
"välfärdsfråga","3.0"
"återupptagna","1.0"
"över","111.0"
"brottsligheten?","1.0"
"pensionsålder","1.0"
"ökningen","3.0"
"tillsammans","20.0"
"totalen","1.0"
"märkvärdigt","1.0"
"globaliserade","1.0"
"senast","6.0"
"synd","5.0"
"uppfattade","1.0"
"gripa","1.0"
"genomförandegruppen 2","1.0"
"förklaring","5.0"
"åtta","18.0"
"vapnen","1.0"
"åtnjuter","1.0"
"jan-olof","1.0"
"partiet","4.0"
"etablering","2.0"
"resan","1.0"
"partier","15.0"
"transparensen","1.0"
"shop","1.0"
"fredrik","3.0"
"jämställdhetsdimension","1.0"
"systemen","1.0"
"befinna","3.0"
"fråga?","2.0"
"utlovar","1.0"
"systemet","6.0"
"helgen","1.0"
"gac-mötena","1.0"
"fråga:","1.0"
"förankrat","1.0"
"ångat","1.0"
"islamistisk","4.0"
"medverka","1.0"
"förankrad","1.0"
"signal?","1.0"
"ingendera","1.0"
"tillväxtkommuner","1.0"
"ledstjärna","1.0"
"kvinnornas","1.0"
"taxichaufförer","1.0"
"datalagringsdirektiv","1.0"
"förföljd","1.0"
"khanaqin","1.0"
"styrkorna","1.0"
"konstaterade","2.0"
"administrativ","2.0"
"rent","3.0"
"vänder","4.0"
"flexibilitet","1.0"
"får","161.0"
"rena","1.0"
"reformerades","1.0"
"gränsöverskridande","1.0"
"intressen","1.0"
"niemi","2.0"
"gentekniknämnden","1.0"
"polisarbete","1.0"
"upphäv","1.0"
"staden","2.0"
"prioriteras","1.0"
"indikationer","1.0"
"individuella","1.0"
"välkomnande","1.0"
"prioriterar","2.0"
"kvällstid","1.0"
"finansiella","6.0"
"hyra","4.0"
"egypten","1.0"
"motverka","3.0"
"ansvarskännande","1.0"
"reser","5.0"
"individuellt","1.0"
"utveckla","13.0"
"ropar","1.0"
"rätta","6.0"
"undantag","2.0"
"förvalta","1.0"
"prioriterade","1.0"
"flexibelt","2.0"
"beröras","2.0"
"inledningsvis","2.0"
"rekordhöga","1.0"
"freedom","1.0"
"judiska","12.0"
"organiserad","3.0"
"uppbackning","1.0"
"avstånd","3.0"
"debatt","21.0"
"maktproblem","1.0"
"igenom","9.0"
"rätt?","1.0"
"regeringspartierna","3.0"
"framgångsrik","1.0"
"sänka","6.0"
"måndags","1.0"
"förebilder","1.0"
"fn-insats","1.0"
"efteråt","2.0"
"upptäcka","1.0"
"gynnar","2.0"
"nationerna","1.0"
"beslutat","2.0"
"strategiskt","3.0"
"beslutar","1.0"
"beslutas","4.0"
"skattereformen","7.0"
"högskolestudier","1.0"
"riktlinje","1.0"
"studien:","1.0"
"undervisande","1.0"
"dödats","3.0"
"jo:","1.0"
"lärare","10.0"
"trakter","1.0"
"strategiska","1.0"
"lärosätena","2.0"
"fotosyntesen","1.0"
"kustkorvetter","1.0"
"inkomsten","1.0"
"aktiviteter","1.0"
"räcka","1.0"
"aktiviteten","1.0"
"frångår","2.0"
"språket","1.0"
"tankesmedjan","1.0"
"mönstringsplikt","4.0"
"tillväxtregionen","1.0"
"terrorsekt","1.0"
"läktarna","1.0"
"genomförandetidens","1.0"
"grundskoleutredningen","1.0"
