"party","SD"
"hinder","1.0"
"varg","4.0"
"må","1.0"
"potentiella","1.0"
"särskilda","1.0"
"varannan","1.0"
"om:","1.0"
"bör","8.0"
"regionaliseringen","1.0"
"utflyttad","1.0"
"stopp","2.0"
"använder","3.0"
"fjolårets","1.0"
"betydelsen","1.0"
"företagare","1.0"
"frustration","1.0"
"rimligt?","1.0"
"verkligen","5.0"
"vare","2.0"
"länsstyrelsernas","2.0"
"tanke","6.0"
"vara","31.0"
"motiveringar","1.0"
"viktig","11.0"
"interpellanten","3.0"
"innefattar","1.0"
"skära","1.0"
"satsa","5.0"
"kontrollerad","1.0"
"nå","2.0"
"bolaget","1.0"
"energipolitisk","1.0"
"beaktande","1.0"
"biologisk","1.0"
"skåne:","1.0"
"eloge","1.0"
"miljoner","16.0"
"arpis","2.0"
"historiska","1.0"
"kontrolleras","1.0"
"rådgivningsorganisationer","1.0"
"lätt","3.0"
"sa","2.0"
"mjölkbönder","3.0"
"enskild","1.0"
"se","18.0"
"terawattimmar","1.0"
"prövningen","1.0"
"behöver","8.0"
"hävda","3.0"
"blev","2.0"
"tyckas","1.0"
"stora","10.0"
"jordbrukarna","1.0"
"lantbrukare","6.0"
"natoperspektiv","1.0"
"ände","1.0"
"lantbruket","15.0"
"hålla","3.0"
"noga","2.0"
"insatta","1.0"
"ta","22.0"
"unilaterala","1.0"
"läst","1.0"
"ända","1.0"
"eu-förordningarna","1.0"
"önska","1.0"
"första","4.0"
"uppifrån","1.0"
"te","1.0"
"vattenmyndigheterna","3.0"
"förtroendekapital","1.0"
"fullgör","1.0"
"varför","6.0"
"artikel","4.0"
"tilltagen","1.0"
"på","205.0"
"skatterna","1.0"
"kritiken","1.0"
"stort","2.0"
"förlorar","1.0"
"överens","2.0"
"lyfte","1.0"
"växande","1.0"
"värsta","2.0"
"norra","2.0"
"sjukskrivningar","2.0"
"specificera","1.0"
"provocera","1.0"
"icke-proportionerliga","1.0"
"självmål","1.0"
"tillgängligheten","1.0"
"åtgärdsprogrammet","2.0"
"lyfta","3.0"
"sista","1.0"
"landsbygdens","1.0"
"dess","5.0"
"länge","3.0"
"organisationer","1.0"
"skillnad","3.0"
"ifall","1.0"
"återkräva","1.0"
"organisationen","1.0"
"växtodlingsrådgivare","2.0"
"verka","3.0"
"sagts","1.0"
"tillåta","1.0"
"ur","5.0"
"ut","19.0"
"fullföljt","1.0"
"övertygad?","1.0"
"det?","2.0"
"minskar","3.0"
"minskat","2.0"
"stå","4.0"
"eskil","2.0"
"vidtar","1.0"
"försvarsförmåga","4.0"
"det:","1.0"
"avdragssystemet","1.0"
"naturvårdsverkets","1.0"
"utökningen","1.0"
"föreslå","1.0"
"enighet","1.0"
"vi","127.0"
"representerar","1.0"
"verkställas","1.0"
"minskad","2.0"
"väntar","2.0"
"längs","1.0"
"uppmuntra","1.0"
"ändrades","1.0"
"tjugotal","1.0"
"sina","13.0"
"region","1.0"
"otroligt","1.0"
"tycke","2.0"
"fantastiskt","1.0"
"avtal","3.0"
"högt","1.0"
"konflikten","1.0"
"tätast","1.0"
"regeringen","37.0"
"resulterat","1.0"
"tycka","1.0"
"så","45.0"
"onödan","1.0"
"beklämmande","2.0"
"frånvaro","1.0"
"går","9.0"
"eftersatta","1.0"
"oktober","1.0"
"höga","2.0"
"blir","16.0"
"magnus","1.0"
"jord-","3.0"
"ord","3.0"
"valrörelsen","2.0"
"ändå","13.0"
"dörr","1.0"
"tvinga","1.0"
"därefter","1.0"
"41 a","2.0"
"tvärvillkorsområde","1.0"
"problemet","5.0"
"investera","3.0"
"verklighet","2.0"
"oro","5.0"
"anmärkningsvärt","1.0"
"hektar","9.0"
"problemen","1.0"
"misstolkats","1.0"
"bilaterala","1.0"
"onekligen","1.0"
"hemtrakter","1.0"
"politiker","2.0"
"försvårat","1.0"
"politiken","3.0"
"tycks","1.0"
"länet","1.0"
"skulle","29.0"
"hela","9.0"
"sist","1.0"
"lagrade","1.0"
"hade","13.0"
"dragits","1.0"
"övertolkning","1.0"
"april","1.0"
"grästorpsslätten","1.0"
"oss","11.0"
"salix","1.0"
"väckte","1.0"
"problem","10.0"
"ytenhet","1.0"
"självskriven","1.0"
"nato-ö","1.0"
"älgstam","1.0"
"internt","1.0"
"remitterades","1.0"
"konfliktens","1.0"
"planerat","1.0"
"kontrollfunktion","1.0"
"vackra","2.0"
"bestraffas","1.0"
"följdes","1.0"
"tillfället","1.0"
"varken","2.0"
"bonden","3.0"
"rättar","1.0"
"införde","2.0"
"landsbygdsbors","1.0"
"rättat","1.0"
"jägarna","2.0"
"utreda","2.0"
"noll","1.0"
"ytterligare","4.0"
"alliansregeringens","1.0"
"avsikten","1.0"
"humorprogram","1.0"
"oron","2.0"
"generaldirektören","1.0"
"ännu","6.0"
"beviljas","1.0"
"framtidsjobb","1.0"
"utan","26.0"
"staten.","1.0"
"drabbade","2.0"
"interna","1.0"
"beviljar","1.0"
"förordar","1.0"
"politiskt","1.0"
"sverige.","1.0"
"landsbygdsminister","4.0"
"biståndsramen","1.0"
"budgeten","2.0"
"tveksam","1.0"
"livsmedelsstrategin","2.0"
"bedömer","1.0"
"stänga","1.0"
"politiska","6.0"
"erlandsson","1.0"
"knäna","1.0"
"stängt","1.0"
"kontraproduktiva","1.0"
"ges","1.0"
"lean","2.0"
"goda","1.0"
"människorna","1.0"
"ger","3.0"
"pågick","1.0"
"lider","1.0"
"birger","1.0"
"lantbruket?","1.0"
"sitt","5.0"
"friluftsorganisationerna","1.0"
"måste","28.0"
"höjs","1.0"
"15 000","1.0"
"övergödningen","1.0"
"presenteras?","1.0"
"kunnat","6.0"
"angelägen","2.0"
"managementsystem","1.0"
"hållet","1.0"
"svaret","20.0"
"faktum","1.0"
"aggression","2.0"
"arbetsmetoder","1.0"
"naturvårdsverket","3.0"
"håller","4.0"
"rättsosäkert","3.0"
"ihop","3.0"
"behövs","4.0"
"helt","13.0"
"människa","3.0"
"framdeles","1.0"
"höja","2.0"
"förtydliga","1.0"
"revir","1.0"
"särskilt","3.0"
"fimbulvinter","1.0"
"bemyndigande","1.0"
"sverige?","1.0"
"idka","1.0"
"speciellt","1.0"
"träffat","1.0"
"behöva","2.0"
"argument","1.0"
"uppenbarar","1.0"
"leda","1.0"
"handlar","15.0"
"sunne","3.0"
"kom","3.0"
"däremot","1.0"
"skadliga","2.0"
"vägen","2.0"
"sveriges","5.0"
"sagt","4.0"
"väger","1.0"
"kor","2.0"
"håll","2.0"
"ovärderlig","1.0"
"tyst","1.0"
"oberoende","3.0"
"miljöambitioner","1.0"
"svaren","3.0"
"banavgifter","1.0"
"berättelser","1.0"
"kritiserat","1.0"
"tusentals","4.0"
"tag","1.0"
"beräkningsmetoderna","1.0"
"skämmas","1.0"
"tal","1.0"
"baseras","1.0"
"lika","2.0"
"energimyndigheten","1.0"
"samstämmighet","1.0"
"tar","15.0"
"versioner","1.0"
"tas","4.0"
"poängtera","1.0"
"naturen","2.0"
"intressesfär","1.0"
"lantbrukets","2.0"
"intressena","1.0"
"konflikt","1.0"
"skyddsformer","1.0"
"fallhöjder","1.0"
"kultur","2.0"
"övervägande","1.0"
"haft","2.0"
"utnyttjandet","1.0"
"sökt","2.0"
"ögonöppnare","1.0"
"utifrån","3.0"
"höll","1.0"
"skadligt","2.0"
"exempel","20.0"
"proportionerliga","1.0"
"sänkta","1.0"
"2 000","1.0"
"rapporterat","1.0"
"herr","36.0"
"rapporterar","2.0"
"tycker","18.0"
"löd:","3.0"
"ifrågasätter","1.0"
"effektivare","2.0"
"fler","8.0"
"bidragit","1.0"
"jordbruksmark","2.0"
"skogsbygderna","2.0"
"växer","1.0"
"miljöbalken","3.0"
"kommentar","1.0"
"framför","13.0"
"motion","1.0"
"utökade","2.0"
"svarar","1.0"
"förvänta","2.0"
"västsverige","1.0"
"instämma","1.0"
"ökade","3.0"
"möjlighet","1.0"
"(forts","2.0"
"skattehöjningar","3.0"
"sammanhanget;","1.0"
"synsätt","1.0"
"lokalt","1.0"
"orolig","1.0"
"jordbruk?","1.0"
"pengar","4.0"
"departementet","1.0"
